-,MALE,FEMALE,UNKNOWN
UNKNOWN,29.63,36.96,0.0
OTHER,0.0,0.0,0.0
NATIVE-AM,0.0,0.0,0.0
HISP-LT,50.0,40.0,0.0
ASIA-PI,0.0,0.0,0.0
WHITE,68.76,63.24,0.0
BLACK,36.0,63.16,0.0
