-,MALE,FEMALE,UNKNOWN
UNKNOWN,43.37,43.82,0.0
OTHER,40.0,40.0,0.0
NATIVE-AM,20.0,50.0,0.0
HISP-LT,28.12,56.25,0.0
ASIA-PI,40.0,40.0,0.0
WHITE,60.5,55.58,0.0
BLACK,57.58,62.96,100.0
