-,MALE,FEMALE,UNKNOWN
UNKNOWN,48.88,48.92,0.0
OTHER,45.0,34.78,0.0
NATIVE-AM,0.0,0.0,0.0
HISP-LT,42.86,41.07,100.0
ASIA-PI,24.49,37.7,0.0
WHITE,65.93,64.89,50.0
BLACK,59.62,70.34,0.0
