-,MALE,FEMALE,UNKNOWN
UNKNOWN,52.83,51.52,0.0
OTHER,0.0,40.0,0.0
NATIVE-AM,0.0,0.0,0.0
HISP-LT,16.67,44.44,0.0
ASIA-PI,0.0,50.0,0.0
WHITE,66.51,67.05,0.0
BLACK,66.67,0.0,0.0
