AGE GROUP,TOTAL VOTERS,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE
25-29,372.0,0.0,3.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,102.0,120.0,0.0,74.0,63.0
30-34,324.0,0.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,122.0,91.0,0.0,65.0,35.0
35-39,330.0,0.0,3.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,3.0,1.0,0.0,114.0,119.0,0.0,49.0,30.0
40-44,334.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,115.0,102.0,0.0,65.0,45.0
45-49,353.0,0.0,2.0,4.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,122.0,113.0,0.0,57.0,48.0
50-54,357.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,122.0,112.0,0.0,69.0,46.0
55-59,397.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,148.0,126.0,0.0,68.0,46.0
60-64,407.0,0.0,3.0,6.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,135.0,140.0,0.0,71.0,47.0
65-OVER,1186.0,0.0,5.0,12.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0,2.0,0.0,478.0,398.0,0.0,163.0,121.0
TOTAL,4060.0,1.0,28.0,40.0,0.0,6.0,3.0,0.0,2.0,2.0,0.0,13.0,14.0,0.0,5.0,5.0,0.0,1458.0,1321.0,0.0,681.0,481.0
