-,MALE,FEMALE,UNKNOWN
UNKNOWN,25.0,33.33,0.0
OTHER,0.0,0.0,0.0
NATIVE-AM,0.0,0.0,0.0
HISP-LT,0.0,100.0,0.0
ASIA-PI,0.0,0.0,0.0
WHITE,73.56,71.07,0.0
BLACK,46.91,59.09,50.0
