AGE GROUP,TOTAL VOTERS,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE
25-29,290.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,149.0,121.0,0.0,0.0,3.0
30-34,294.0,0.0,3.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,132.0,145.0,0.0,0.0,0.0
35-39,309.0,1.0,16.0,14.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,151.0,123.0,0.0,1.0,0.0
40-44,379.0,0.0,6.0,9.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,185.0,166.0,0.0,3.0,2.0
45-49,549.0,0.0,11.0,13.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,4.0,0.0,264.0,246.0,0.0,1.0,3.0
50-54,580.0,0.0,7.0,15.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,6.0,0.0,1.0,0.0,0.0,291.0,253.0,0.0,0.0,2.0
55-59,728.0,0.0,13.0,19.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,8.0,0.0,1.0,1.0,0.0,342.0,332.0,0.0,2.0,2.0
60-64,882.0,0.0,23.0,17.0,0.0,2.0,6.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,432.0,394.0,0.0,0.0,1.0
65-OVER,3228.0,0.0,66.0,81.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,3.0,1.0,0.0,1585.0,1475.0,0.0,5.0,1.0
TOTAL,7239.0,1.0,151.0,183.0,0.0,8.0,14.0,0.0,3.0,2.0,0.0,29.0,23.0,0.0,7.0,6.0,0.0,3531.0,3255.0,0.0,12.0,14.0
