-,MALE,FEMALE,UNKNOWN
UNKNOWN,22.3,34.19,0.0
OTHER,35.29,35.71,0.0
NATIVE-AM,0.0,0.0,0.0
HISP-LT,21.74,26.92,0.0
ASIA-PI,33.33,15.79,0.0
WHITE,49.17,51.36,50.0
BLACK,39.24,54.84,18.18
