-,MALE,FEMALE,UNKNOWN
UNKNOWN,19.05,33.33,0.0
OTHER,16.67,0.0,0.0
NATIVE-AM,0.0,0.0,0.0
HISP-LT,40.0,100.0,0.0
ASIA-PI,0.0,100.0,0.0
WHITE,64.38,61.48,100.0
BLACK,38.81,52.71,0.0
