-,MALE,FEMALE,UNKNOWN
UNKNOWN,47.16,45.45,0.0
OTHER,58.82,42.86,0.0
NATIVE-AM,50.0,50.0,0.0
HISP-LT,43.28,50.0,0.0
ASIA-PI,30.0,48.39,0.0
WHITE,62.95,61.11,50.0
BLACK,62.15,69.63,0.0
