-,MALE,FEMALE,UNKNOWN
UNKNOWN,36.17,42.22,0.0
OTHER,66.67,33.33,0.0
NATIVE-AM,0.0,0.0,0.0
HISP-LT,22.22,41.67,0.0
ASIA-PI,12.5,50.0,0.0
WHITE,66.25,59.81,0.0
BLACK,47.08,63.94,0.0
