-,MALE,FEMALE,UNKNOWN
UNKNOWN,22.88,25.0,0.0
OTHER,18.75,38.89,0.0
NATIVE-AM,0.0,100.0,0.0
HISP-LT,14.81,20.51,100.0
ASIA-PI,0.0,57.14,0.0
WHITE,30.68,26.57,0.0
BLACK,41.36,52.55,0.0
