-,MALE,FEMALE,UNKNOWN
UNKNOWN,40.0,51.61,0.0
OTHER,0.0,20.0,0.0
NATIVE-AM,0.0,0.0,0.0
HISP-LT,0.0,30.0,0.0
ASIA-PI,66.67,66.67,0.0
WHITE,66.67,66.12,0.0
BLACK,50.89,65.25,0.0
