-,MALE,FEMALE,UNKNOWN
UNKNOWN,34.09,42.0,0.0
OTHER,80.0,60.0,0.0
NATIVE-AM,0.0,0.0,0.0
HISP-LT,66.67,25.0,0.0
ASIA-PI,0.0,100.0,0.0
WHITE,72.5,71.9,0.0
BLACK,46.91,60.35,0.0
