-,MALE,FEMALE,UNKNOWN
UNKNOWN,26.86,26.59,0.0
OTHER,35.9,41.94,0.0
NATIVE-AM,33.33,28.57,0.0
HISP-LT,37.39,38.05,0.0
ASIA-PI,31.11,55.0,0.0
WHITE,59.89,59.23,20.0
BLACK,45.17,59.23,0.0
