AGE GROUP,TOTAL VOTERS,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE
25-29,501.0,1.0,11.0,17.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,245.0,215.0,0.0,2.0,2.0
30-34,494.0,0.0,14.0,17.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,244.0,205.0,0.0,4.0,3.0
35-39,615.0,0.0,9.0,23.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,314.0,257.0,0.0,3.0,1.0
40-44,715.0,0.0,13.0,13.0,0.0,1.0,2.0,0.0,3.0,0.0,0.0,2.0,2.0,0.0,2.0,3.0,0.0,363.0,299.0,0.0,7.0,5.0
45-49,892.0,0.0,15.0,14.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,4.0,0.0,2.0,1.0,0.0,446.0,391.0,0.0,8.0,7.0
50-54,1042.0,0.0,19.0,20.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,3.0,5.0,0.0,0.0,1.0,0.0,525.0,458.0,0.0,7.0,0.0
55-59,1207.0,0.0,30.0,18.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,0.0,3.0,0.0,587.0,538.0,0.0,5.0,7.0
60-64,1215.0,0.0,16.0,26.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,4.0,1.0,0.0,603.0,550.0,0.0,4.0,4.0
65-OVER,4155.0,0.0,82.0,64.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,3.0,2.0,0.0,1.0,2.0,0.0,2015.0,1950.0,0.0,19.0,11.0
TOTAL,10836.0,1.0,209.0,212.0,0.0,11.0,17.0,0.0,6.0,2.0,0.0,28.0,24.0,0.0,10.0,12.0,0.0,5342.0,4863.0,0.0,59.0,40.0
