-,MALE,FEMALE,UNKNOWN
UNKNOWN,42.37,44.44,0.0
OTHER,33.33,0.0,0.0
NATIVE-AM,0.0,0.0,0.0
HISP-LT,0.0,0.0,0.0
ASIA-PI,0.0,0.0,0.0
WHITE,42.29,44.64,0.0
BLACK,0.0,100.0,0.0
