-,MALE,FEMALE,UNKNOWN
UNKNOWN,30.0,25.0,0.0
OTHER,0.0,57.14,0.0
NATIVE-AM,0.0,0.0,0.0
HISP-LT,25.0,50.0,0.0
ASIA-PI,50.0,0.0,0.0
WHITE,55.19,59.77,0.0
BLACK,43.87,56.98,33.33
