-,MALE,FEMALE,UNKNOWN
UNKNOWN,41.51,57.14,0.0
OTHER,75.0,80.0,0.0
NATIVE-AM,100.0,50.0,0.0
HISP-LT,40.0,23.53,0.0
ASIA-PI,16.67,20.0,0.0
WHITE,76.66,68.8,0.0
BLACK,48.1,65.47,0.0
