-,MALE,FEMALE,UNKNOWN
UNKNOWN,19.12,31.13,0.0
OTHER,33.33,40.0,0.0
NATIVE-AM,0.0,50.0,0.0
HISP-LT,33.33,20.0,0.0
ASIA-PI,14.29,70.0,0.0
WHITE,43.96,43.87,50.0
BLACK,33.33,48.83,0.0
