-,MALE,FEMALE,UNKNOWN
UNKNOWN,14.88,30.85,0.0
OTHER,57.14,42.86,0.0
NATIVE-AM,50.0,0.0,0.0
HISP-LT,22.73,33.33,0.0
ASIA-PI,75.0,50.0,0.0
WHITE,58.49,55.51,0.0
BLACK,51.68,66.1,0.0
