-,MALE,FEMALE,UNKNOWN
UNKNOWN,31.94,34.98,0.0
OTHER,28.57,43.75,0.0
NATIVE-AM,25.0,0.0,0.0
HISP-LT,21.05,33.33,0.0
ASIA-PI,62.5,44.44,0.0
WHITE,65.81,66.54,50.0
BLACK,31.33,43.67,0.0
