-,MALE,FEMALE,UNKNOWN
UNKNOWN,0.0,25.0,0.0
OTHER,0.0,0.0,0.0
NATIVE-AM,0.0,0.0,0.0
HISP-LT,100.0,50.0,0.0
ASIA-PI,0.0,0.0,0.0
WHITE,76.1,79.51,0.0
BLACK,36.84,78.26,0.0
