ELECTION TYPE/YEAR,MALE,FEMALE,UNKNOWN,TOTAL
2016 Presidential Primary,42.82,39.73,0.00,41.20
2016 Primary,19.92,17.13,0.00,18.45
2016 Primary Runoff,15.80,14.15,0.00,14.93
2016 General,68.26,69.47,100.0,68.92
2018 Primary,25.60,23.02,50.00,24.27
2018 Primary Runoff,18.72,14.13,0.00,16.31
2018 General,61.50,63.49,33.33,62.51
