ELECTION TYPE/YEAR,MALE,FEMALE,UNKNOWN,TOTAL
2016 Presidential Primary,45.01,42.77,100.0,43.92
2016 Primary,21.61,21.29,0.00,21.43
2016 Primary Runoff,17.06,17.46,0.00,17.25
2016 General,68.41,71.47,0.00,69.90
2018 Primary,29.46,28.97,0.00,29.18
2018 Primary Runoff,18.47,16.54,0.00,17.48
2018 General,59.79,62.32,66.67,61.07
