ELECTION TYPE/YEAR,MALE,FEMALE,UNKNOWN,TOTAL
2016 Presidential Primary,43.56,38.22,0.00,40.75
2016 Primary,35.55,33.33,0.00,34.38
2016 Primary Runoff,18.96,17.45,0.00,18.16
2016 General,70.37,69.04,0.00,69.67
2018 Primary,23.91,19.84,0.00,21.78
2018 Primary Runoff,18.14,14.68,0.00,16.32
2018 General,67.38,65.49,0.00,66.39
