ELECTION TYPE/YEAR,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
2014 Primary,6.13,13.06,4.62,10.91,7.31,21.47,10.22,18.26
2014 Primary Runoff,3.52,5.36,2.97,6.63,4.18,17.58,7.41,13.63
2014 General,21.44,41.70,24.98,32.39,29.23,50.40,32.96,46.34
2016 Presidential Primary,16.73,26.88,22.67,26.98,24.32,42.39,26.63,36.91
2016 Primary,3.96,18.57,3.98,8.09,6.49,22.62,8.72,19.95
2016 Primary Runoff,0.35,0.23,0.15,1.69,0.69,2.25,0.67,1.61
2016 General,50.22,60.31,57.50,61.64,54.03,70.99,54.91,66.65
2018 Primary,7.51,19.36,7.75,11.17,10.55,22.48,10.62,20.05
2018 Primary Runoff,3.51,5.59,2.97,5.66,4.89,19.55,6.96,14.58
2018 General,41.93,58.17,46.27,48.51,51.97,66.08,42.49,61.19
