ELECTION TYPE/YEAR,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
2014 Primary,3.38,15.48,3.79,4.46,7.02,22.22,7.86,16.37
2014 Primary Runoff,2.46,8.69,2.34,3.73,3.93,18.18,4.21,10.88
2014 General,23.37,45.09,24.72,22.22,30.18,53.14,28.74,45.21
2016 Presidential Primary,14.59,28.46,18.95,14.29,20.60,44.01,19.16,31.43
2016 Primary,3.39,14.19,4.47,4.97,5.79,16.65,6.30,13.66
2016 Primary Runoff,0.78,6.73,1.01,0.90,1.98,4.84,2.42,5.53
2016 General,53.97,59.35,53.64,47.59,50.62,68.56,46.49,60.34
2018 Primary,6.20,18.31,7.32,6.12,10.25,23.95,9.25,18.15
2018 Primary Runoff,2.25,5.63,1.78,1.90,2.84,17.20,3.34,8.10
2018 General,43.30,56.60,42.64,36.55,46.63,63.93,39.42,55.84
