ELECTION TYPE/YEAR,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
2014 Primary,4.90,7.28,3.68,9.30,8.25,19.05,7.98,15.76
2014 Primary Runoff,3.16,2.95,2.33,6.10,6.12,16.14,6.00,12.76
2014 General,26.19,38.20,24.40,30.75,31.59,48.80,28.30,44.54
2016 Presidential Primary,19.13,24.32,23.75,24.94,25.49,41.70,23.72,36.48
2016 Primary,3.43,5.38,2.99,7.66,5.14,15.41,5.52,12.36
2016 Primary Runoff,1.69,0.90,0.91,2.39,2.12,6.41,1.42,4.85
2016 General,56.75,57.79,58.30,54.84,57.02,69.82,50.59,65.59
2018 Primary,6.22,13.68,5.75,8.00,9.65,17.73,7.83,15.44
2018 Primary Runoff,3.20,2.38,2.18,4.82,4.79,15.42,4.98,11.57
2018 General,47.70,56.04,45.81,42.96,52.30,62.33,40.33,58.29
