ELECTION TYPE/YEAR,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
2014 Primary,4.36,7.43,2.18,11.30,8.19,21.26,9.18,19.14
2014 Primary Runoff,2.37,2.77,1.33,9.71,5.37,15.27,7.00,13.61
2014 General,19.37,34.86,17.32,29.90,27.21,48.51,33.54,45.78
2016 Presidential Primary,13.24,22.35,16.35,25.85,22.48,41.86,27.76,38.86
2016 Primary,6.10,8.46,2.82,12.69,8.63,25.35,10.12,22.54
2016 Primary Runoff,0.87,0.36,0.37,4.62,2.13,6.95,2.18,6.01
2016 General,45.52,55.13,50.96,58.31,52.03,70.11,56.38,67.46
2018 Primary,5.76,13.04,6.09,8.69,9.40,22.26,9.64,19.75
2018 Primary Runoff,4.14,4.10,1.95,9.76,6.88,19.39,7.98,16.65
2018 General,36.72,50.79,40.30,42.54,48.23,62.90,39.45,58.73
