ELECTION TYPE/YEAR,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
2014 Primary,4.36,8.51,1.83,3.29,4.92,17.14,7.17,15.34
2014 Primary Runoff,2.36,3.42,1.02,1.99,2.75,10.58,3.91,9.29
2014 General,19.09,37.65,14.70,17.47,20.97,40.35,24.58,38.28
2016 Presidential Primary,14.33,22.53,15.95,17.28,17.37,36.07,21.82,33.11
2016 Primary,5.68,6.74,4.78,5.88,4.64,19.95,7.56,17.32
2016 Primary Runoff,1.66,0.68,0.42,1.07,1.47,5.65,1.89,4.76
2016 General,46.83,56.75,51.99,47.97,47.99,65.15,50.28,62.63
2018 Primary,5.88,13.10,5.06,6.41,6.21,16.44,6.46,14.69
2018 Primary Runoff,2.72,2.35,1.22,4.64,3.67,12.81,3.76,10.56
2018 General,37.55,55.33,41.21,38.76,43.34,58.02,35.61,54.79
