ELECTION TYPE/YEAR,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
2014 Primary,5.24,11.73,3.20,4.69,6.75,19.58,6.21,16.46
2014 Primary Runoff,2.69,4.49,1.18,3.16,3.38,13.31,3.56,10.14
2014 General,22.75,37.71,17.55,22.61,24.21,46.35,24.63,42.38
2016 Presidential Primary,15.02,22.38,15.25,17.89,17.35,37.94,18.85,32.02
2016 Primary,5.13,13.25,3.56,6.33,5.99,22.20,7.19,18.46
2016 Primary Runoff,0.20,1.29,0.26,2.08,0.53,2.20,0.46,1.81
2016 General,50.00,55.17,44.79,49.68,46.44,67.32,45.29,62.21
2018 Primary,5.24,15.32,5.17,5.52,8.21,20.39,7.02,17.70
2018 Primary Runoff,3.76,5.22,2.59,3.85,4.26,17.04,4.25,12.50
2018 General,39.87,53.16,34.08,38.76,42.94,63.11,35.20,57.78
