ELECTION TYPE/YEAR,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
2014 Primary,5.78,9.69,4.23,4.51,6.34,19.11,8.44,15.90
2014 Primary Runoff,3.21,2.93,2.28,5.26,3.64,14.30,5.52,10.88
2014 General,22.45,40.60,22.89,26.76,26.93,47.38,32.27,44.09
2016 Presidential Primary,14.97,26.17,20.64,15.70,21.06,40.57,25.27,35.55
2016 Primary,4.26,10.46,3.87,7.37,6.42,20.03,8.30,16.52
2016 Primary Runoff,1.91,1.13,1.72,4.74,2.76,12.91,4.15,9.30
2016 General,51.93,58.38,53.82,53.90,49.84,68.31,53.86,64.39
2018 Primary,5.52,15.32,6.18,7.59,9.04,20.94,9.67,18.09
2018 Primary Runoff,2.92,3.87,2.84,5.36,4.44,16.94,5.84,12.49
2018 General,40.58,56.77,42.73,37.43,47.01,62.39,42.89,58.51
