ELECTION TYPE/YEAR,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
2014 Primary,4.00,12.97,3.01,4.72,7.42,18.65,7.92,13.93
2014 Primary Runoff,2.04,4.39,1.50,4.31,3.45,15.06,3.34,7.51
2014 General,21.44,46.53,23.78,27.73,31.39,49.39,33.26,45.31
2016 Presidential Primary,13.20,28.26,19.79,15.57,20.47,39.90,19.78,30.40
2016 Primary,3.49,12.87,2.82,5.90,6.29,16.97,7.19,13.08
2016 Primary Runoff,0.93,4.06,0.71,1.48,1.74,5.12,2.23,4.04
2016 General,49.65,60.86,55.68,49.86,51.77,66.99,49.49,61.15
2018 Primary,4.95,17.27,5.71,6.45,9.32,18.47,9.78,16.18
2018 Primary Runoff,2.62,4.56,1.62,4.73,3.63,17.32,3.58,7.62
2018 General,40.09,57.71,43.55,37.56,47.95,59.45,41.86,55.71
