ELECTION TYPE/YEAR,MALE,FEMALE,UNKNOWN,TOTAL
2016 Presidential Primary,35.11,35.93,24.33,35.55
2016 Primary,16.75,16.33,5.78,16.52
2016 Primary Runoff,10.02,8.69,2.73,9.30
2016 General,62.10,66.35,57.79,64.39
2018 Primary,18.32,17.92,7.09,18.09
2018 Primary Runoff,13.52,11.62,4.20,12.49
2018 General,56.79,60.02,49.38,58.51
