ELECTION TYPE/YEAR,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
2014 Primary,2.37,6.15,2.48,3.25,5.40,18.09,7.00,12.63
2014 Primary Runoff,1.48,1.74,1.47,2.50,3.49,15.10,4.90,9.72
2014 General,19.41,41.43,23.44,23.44,30.86,50.38,32.01,42.89
2016 Presidential Primary,11.73,24.77,20.48,16.07,21.68,41.24,22.54,32.39
2016 Primary,1.39,4.42,2.06,2.28,3.13,11.30,4.52,7.81
2016 Primary Runoff,0.07,0.00,0.07,0.00,0.08,0.89,0.39,0.54
2016 General,51.79,60.30,58.05,56.59,57.44,70.14,54.50,63.96
2018 Primary,9.02,14.87,7.42,8.97,11.02,20.54,12.61,16.23
2018 Primary Runoff,5.66,6.54,2.94,6.17,6.44,17.75,8.43,11.93
2018 General,42.14,57.62,46.03,43.70,51.16,62.38,47.06,56.09
