ELECTION TYPE/YEAR,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
2014 Primary,3.61,13.82,3.73,5.66,6.34,15.62,7.91,13.29
2014 Primary Runoff,1.55,7.17,1.61,0.96,3.08,9.85,3.78,7.35
2014 General,23.03,38.28,25.07,15.93,27.71,45.72,29.99,38.90
2016 Presidential Primary,16.89,24.87,22.83,15.04,20.81,38.00,21.75,28.06
2016 Primary,3.54,12.14,4.25,3.83,5.63,11.37,6.19,10.83
2016 Primary Runoff,0.93,6.41,1.15,1.40,2.09,3.48,2.87,4.89
2016 General,49.31,49.84,52.27,36.91,46.45,63.90,46.61,53.44
2018 Primary,8.75,16.07,9.60,4.06,11.59,21.89,11.72,16.84
2018 Primary Runoff,1.91,4.27,1.56,1.39,2.08,8.34,3.06,5.14
2018 General,46.23,47.09,47.44,30.32,46.57,61.86,41.69,50.62
