COUNTY NAME,TOTAL VOTERS,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE
BACON,59.76,0,34.98,31.94,0,43.75,28.57,0,0,25,0,33.33,21.05,0,44.44,62.5,50,66.54,65.81,0,43.67,31.33
BRANTLEY,53.26,0,23.44,25.6,0,40.74,26.67,0,25,66.67,0,23.33,29.17,0,44.44,66.67,0,54.88,55.59,0,64.29,41.60
BRYAN,52.47,33.33,38.69,36.36,100,50.61,36.64,0,50,55.56,0,38.78,36.26,0,36.97,35,46.67,55.18,56.39,50,56.53,48.91
CAMDEN,46.92,60,32.32,30.34,0,34,32.94,0,41.94,46.88,0,30.94,31.21,100,40.38,32.79,37.5,50.55,53.98,0,53.7,48.03
CHARLTON,50.2,0,36.5,31.29,0,34.48,41.67,0,25,40,0,8.33,41.67,0,30.77,55,25,54.1,55.78,0,53.12,39.17
CHATHAM,50.68,28.89,36.86,29.75,12.5,41.19,34.74,100,37.36,23.67,25,35.06,29.71,33.33,36.75,33.49,51.02,56.86,54.67,24.59,56.61,41.34
CLINCH,54.74,50,34.26,30.77,0,25,33.33,0,0,100,0,20,10,0,100,33.33,100,61.27,64.54,0,45.83,34.90
ECHOLS,56.2,100,36.36,28.79,0,45.45,71.43,0,0,66.67,0,28.77,17.74,0,0,33.33,100,60.55,61.26,0,61.82,35.71
EFFINGHAM,56.6,58.33,40.52,35.17,0,51.02,45.07,0,40,31.25,100,42.11,45.61,0,47.75,42.25,70,60.21,60.3,100,62.04,50.84
GLYNN,53.83,50,41.35,35.65,0,38.52,41.31,0,30.56,40,100,29.46,29.63,100,36.86,32.16,58.33,59.65,59.99,9.09,50.08,38.85
LIBERTY,42.4,30,24.9,19.62,0,30.05,32.26,0,28.89,40,0,27.37,24.97,100,30.23,26.38,66.67,44.22,47.17,28.57,51.25,46.48
LONG,44.78,25,29.3,24.92,0,27.87,46,0,46.15,44.44,0,26.34,25,0,47.54,46.43,33.33,48,53.65,0,49.24,40.95
LOWNDES,43.29,100,17.28,17,0,40,21.57,0,0,50,0,20.97,26.32,0,40,24,0,46.38,46.65,0,56.94,36.32
MCINTOSH,57.16,0,43.89,33.33,0,33.33,30,0,33.33,50,0,29.55,26.92,0,40,11.76,100,57.91,59.51,0,65.9,50.56
PIERCE,58.64,0,37.08,33.7,0,27.27,60,0,80,71.43,0,31.25,30,100,36.36,20,16.67,60.94,65.12,0,47.52,43.26
WARE,54.22,57.14,22.76,20.3,0,31.88,37.5,0,62.5,26.67,0,37.08,35.8,0,37.29,55.56,40,60.56,63.05,0,48.98,40.33
TOTAL,51.4,35.21,35.14,29.99,15.38,38.84,35.66,33.33,37.11,34.22,43.75,32.37,29.79,50.0,37.0,33.72,50.45,56.86,57.14,23.23,54.71,42.48
