COUNTY NAME,TOTAL VOTERS,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE
ATKINSON,2530.0,2.0,22.0,19.0,0.0,2.0,6.0,0.0,2.0,1.0,0.0,54.0,32.0,0.0,0.0,1.0,1.0,1028.0,883.0,0.0,290.0,187.0
BEN HILL,5566.0,2.0,55.0,45.0,0.0,13.0,10.0,0.0,2.0,2.0,0.0,18.0,12.0,0.0,9.0,3.0,2.0,1911.0,1742.0,0.0,1186.0,554.0
BERRIEN,6268.0,2.0,87.0,72.0,1.0,9.0,9.0,0.0,1.0,6.0,0.0,31.0,11.0,0.0,4.0,5.0,4.0,2829.0,2659.0,0.0,353.0,185.0
BIBB,21215.0,9.0,389.0,341.0,0.0,95.0,79.0,0.0,11.0,7.0,1.0,104.0,66.0,1.0,151.0,133.0,3.0,7855.0,6420.0,3.0,3660.0,1887.0
BLECKLEY,4868.0,1.0,52.0,59.0,1.0,9.0,3.0,0.0,1.0,0.0,0.0,12.0,10.0,0.0,14.0,8.0,2.0,2021.0,1909.0,0.0,518.0,248.0
BROOKS,5741.0,0.0,129.0,128.0,0.0,12.0,14.0,0.0,2.0,3.0,0.0,32.0,20.0,0.0,8.0,5.0,1.0,1857.0,1726.0,0.0,1155.0,649.0
COLQUITT,13001.0,5.0,237.0,189.0,0.0,37.0,19.0,0.0,5.0,3.0,0.0,129.0,86.0,0.0,18.0,16.0,4.0,5312.0,4739.0,1.0,1433.0,768.0
COOK,5817.0,0.0,57.0,63.0,0.0,11.0,9.0,0.0,1.0,1.0,0.0,30.0,14.0,0.0,5.0,8.0,1.0,2189.0,2061.0,0.0,887.0,480.0
DODGE,7068.0,0.0,88.0,80.0,0.0,8.0,5.0,0.0,0.0,2.0,0.0,14.0,10.0,0.0,8.0,3.0,4.0,2740.0,2564.0,1.0,996.0,545.0
HOUSTON,59385.0,23.0,1520.0,1508.0,1.0,293.0,228.0,2.0,27.0,29.0,2.0,525.0,378.0,1.0,482.0,308.0,18.0,18768.0,17521.0,23.0,11089.0,6639.0
IRWIN,3554.0,2.0,27.0,23.0,0.0,4.0,3.0,0.0,1.0,0.0,0.0,7.0,7.0,0.0,3.0,2.0,1.0,1432.0,1314.0,0.0,481.0,247.0
JONES,12468.0,1.0,79.0,71.0,1.0,20.0,9.0,0.0,7.0,9.0,0.0,33.0,22.0,0.0,29.0,12.0,2.0,4720.0,4292.0,0.0,1922.0,1239.0
LANIER,2686.0,0.0,75.0,58.0,0.0,7.0,5.0,0.0,2.0,1.0,0.0,17.0,11.0,0.0,5.0,4.0,1.0,999.0,931.0,0.0,350.0,220.0
LOWNDES,34392.0,7.0,399.0,411.0,0.0,281.0,190.0,0.0,22.0,21.0,0.0,271.0,177.0,0.0,166.0,106.0,6.0,11395.0,10270.0,0.0,6970.0,3700.0
MONROE,12988.0,9.0,313.0,323.0,0.0,27.0,33.0,0.0,6.0,5.0,0.0,22.0,24.0,0.0,23.0,19.0,5.0,5052.0,4664.0,4.0,1529.0,930.0
PULASKI,3633.0,0.0,45.0,28.0,0.0,6.0,7.0,0.0,2.0,1.0,0.0,13.0,7.0,0.0,3.0,5.0,0.0,1365.0,1275.0,0.0,570.0,306.0
TELFAIR,3649.0,0.0,51.0,31.0,0.0,5.0,2.0,0.0,1.0,3.0,0.0,7.0,2.0,0.0,4.0,3.0,0.0,1277.0,1224.0,1.0,656.0,382.0
THOMAS,17300.0,5.0,433.0,377.0,0.0,41.0,24.0,0.0,5.0,7.0,0.0,43.0,21.0,0.0,31.0,30.0,8.0,6009.0,5278.0,1.0,3337.0,1650.0
TIFT,13702.0,8.0,159.0,162.0,0.0,32.0,25.0,0.0,2.0,1.0,1.0,118.0,113.0,0.0,29.0,36.0,7.0,5370.0,4668.0,4.0,1978.0,989.0
TURNER,3273.0,0.0,38.0,30.0,0.0,3.0,5.0,0.0,0.0,2.0,0.0,10.0,8.0,0.0,1.0,1.0,1.0,1113.0,986.0,1.0,699.0,375.0
TWIGGS,3809.0,0.0,69.0,65.0,0.0,9.0,4.0,0.0,0.0,1.0,0.0,7.0,5.0,0.0,4.0,3.0,0.0,1018.0,998.0,0.0,955.0,671.0
WILCOX,2822.0,0.0,14.0,22.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,7.0,3.0,0.0,2.0,1.0,1.0,1090.0,995.0,0.0,446.0,236.0
WILKINSON,4274.0,0.0,35.0,45.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,1.0,0.0,1286.0,1183.0,1.0,1065.0,643.0
WORTH,7865.0,3.0,86.0,82.0,0.0,13.0,19.0,0.0,2.0,3.0,0.0,19.0,10.0,0.0,10.0,3.0,2.0,3064.0,2883.0,0.0,1077.0,589.0
TOTAL,257874.0,79.0,4459.0,4232.0,4.0,945.0,715.0,2.0,102.0,108.0,4.0,1524.0,1051.0,2.0,1011.0,716.0,74.0,91700.0,83185.0,40.0,43602.0,24319.0
