COUNTY NAME,TOTAL VOTERS,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE
CATOOSA,23837.0,9.0,1153.0,1148.0,0.0,41.0,42.0,0.0,11.0,8.0,0.0,90.0,59.0,0.0,48.0,32.0,18.0,11108.0,9659.0,0.0,239.0,172.0
CHATTOOGA,7467.0,0.0,197.0,189.0,0.0,11.0,10.0,0.0,2.0,4.0,0.0,16.0,19.0,0.0,11.0,5.0,0.0,3355.0,3127.0,0.0,313.0,208.0
DADE,5477.0,0.0,246.0,213.0,1.0,6.0,6.0,0.0,1.0,6.0,0.0,11.0,5.0,0.0,8.0,2.0,3.0,2579.0,2374.0,0.0,8.0,8.0
FLOYD,31424.0,9.0,868.0,772.0,1.0,39.0,36.0,0.0,8.0,10.0,0.0,302.0,194.0,1.0,103.0,62.0,9.0,13455.0,12080.0,1.0,2258.0,1216.0
GORDON,17857.0,2.0,188.0,177.0,0.0,39.0,31.0,0.0,7.0,9.0,0.0,348.0,251.0,0.0,33.0,29.0,0.0,8350.0,7768.0,0.0,370.0,255.0
HARALSON,10611.0,3.0,196.0,186.0,0.0,14.0,19.0,0.0,3.0,4.0,0.0,20.0,17.0,0.0,19.0,12.0,5.0,5124.0,4630.0,0.0,222.0,137.0
MURRAY,11119.0,0.0,303.0,314.0,0.0,20.0,20.0,0.0,4.0,3.0,0.0,226.0,154.0,0.0,7.0,5.0,5.0,5136.0,4891.0,0.0,17.0,14.0
PAULDING,61380.0,19.0,2151.0,1936.0,3.0,320.0,225.0,0.0,30.0,26.0,3.0,732.0,563.0,0.0,178.0,108.0,26.0,22649.0,20610.0,12.0,7281.0,4508.0
PICKENS,4457.0,0.0,87.0,102.0,0.0,7.0,1.0,0.0,6.0,2.0,0.0,16.0,10.0,0.0,6.0,5.0,0.0,2152.0,2048.0,0.0,8.0,7.0
POLK,12892.0,2.0,262.0,243.0,1.0,26.0,32.0,0.0,1.0,2.0,1.0,97.0,79.0,0.0,17.0,7.0,2.0,5616.0,5194.0,1.0,835.0,474.0
WALKER,21576.0,7.0,1018.0,996.0,0.0,44.0,31.0,0.0,11.0,7.0,0.0,43.0,40.0,0.0,29.0,25.0,7.0,9914.0,8799.0,0.0,365.0,240.0
WHITFIELD,27427.0,6.0,1012.0,975.0,1.0,93.0,81.0,0.0,15.0,8.0,5.0,1538.0,1202.0,0.0,90.0,76.0,14.0,11297.0,9991.0,0.0,624.0,399.0
TOTAL,235524.0,57.0,7681.0,7251.0,7.0,660.0,534.0,0.0,99.0,89.0,9.0,3439.0,2593.0,1.0,549.0,368.0,89.0,100735.0,91171.0,14.0,12540.0,7638.0
