COUNTY NAME,TOTAL VOTERS,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE
CARROLL,77799.0,23.0,3733.0,3795.0,3.0,388.0,299.0,1.0,56.0,44.0,1.0,733.0,651.0,0.0,229.0,198.0,40.0,28581.0,25868.0,14.0,7459.0,5683.0
COWETA,98646.0,58.0,5880.0,6020.0,4.0,418.0,363.0,0.0,26.0,39.0,6.0,1279.0,969.0,1.0,576.0,424.0,72.0,35721.0,32311.0,20.0,8530.0,5929.0
FAYETTE,73863.0,55.0,4571.0,4339.0,1.0,484.0,407.0,0.0,45.0,44.0,5.0,1034.0,807.0,2.0,879.0,737.0,52.0,25220.0,22997.0,20.0,6770.0,5394.0
HARRIS,24721.0,8.0,804.0,809.0,0.0,96.0,89.0,0.0,14.0,10.0,1.0,204.0,166.0,1.0,103.0,60.0,10.0,9682.0,9046.0,4.0,1956.0,1658.0
HEARD,7093.0,1.0,161.0,246.0,0.0,19.0,12.0,0.0,7.0,5.0,0.0,18.0,19.0,0.0,12.0,12.0,3.0,3084.0,2788.0,0.0,392.0,314.0
HENRY,51933.0,17.0,2815.0,2421.0,2.0,773.0,667.0,0.0,19.0,23.0,2.0,888.0,758.0,0.0,353.0,316.0,13.0,10600.0,9493.0,13.0,13191.0,9569.0
LAMAR,11979.0,1.0,419.0,454.0,0.0,39.0,30.0,0.0,9.0,2.0,0.0,44.0,37.0,0.0,17.0,15.0,3.0,4227.0,3794.0,0.0,1632.0,1256.0
MERIWETHER,14623.0,2.0,461.0,539.0,0.0,40.0,25.0,1.0,9.0,4.0,0.0,41.0,26.0,0.0,14.0,15.0,6.0,4303.0,3874.0,2.0,3027.0,2234.0
MUSCOGEE,32864.0,7.0,1177.0,1187.0,1.0,267.0,198.0,0.0,26.0,33.0,1.0,530.0,432.0,1.0,394.0,314.0,19.0,12584.0,10145.0,5.0,3171.0,2372.0
PIKE,12789.0,4.0,425.0,548.0,0.0,39.0,22.0,0.0,4.0,8.0,0.0,34.0,27.0,0.0,27.0,12.0,3.0,5461.0,5068.0,0.0,587.0,520.0
SPALDING,44415.0,26.0,1497.0,1653.0,1.0,184.0,132.0,1.0,24.0,22.0,0.0,337.0,276.0,0.0,148.0,102.0,14.0,13936.0,12386.0,8.0,8085.0,5583.0
TROUP,42295.0,30.0,1130.0,1301.0,5.0,165.0,128.0,1.0,14.0,9.0,1.0,194.0,168.0,1.0,148.0,146.0,18.0,13541.0,11594.0,9.0,8156.0,5536.0
UPSON,16857.0,3.0,587.0,699.0,0.0,38.0,36.0,0.0,7.0,6.0,0.0,31.0,37.0,0.0,33.0,26.0,8.0,5940.0,4995.0,5.0,2618.0,1788.0
TOTAL,509877.0,235.0,23660.0,24011.0,17.0,2950.0,2408.0,4.0,260.0,249.0,17.0,5367.0,4373.0,6.0,2933.0,2377.0,261.0,172880.0,154359.0,100.0,65574.0,47836.0
