COUNTY NAME,TOTAL VOTERS,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE
CATOOSA,44391.0,21.0,3080.0,3158.0,0.0,113.0,121.0,0.0,23.0,22.0,1.0,214.0,153.0,0.0,134.0,119.0,42.0,19718.0,16640.0,2.0,440.0,390.0
CHATTOOGA,13533.0,1.0,613.0,652.0,0.0,52.0,30.0,0.0,7.0,7.0,0.0,51.0,64.0,0.0,24.0,18.0,2.0,5976.0,5065.0,0.0,544.0,427.0
DADE,11480.0,1.0,633.0,741.0,2.0,18.0,17.0,0.0,5.0,13.0,1.0,35.0,34.0,0.0,22.0,21.0,8.0,4863.0,5006.0,0.0,28.0,32.0
FLOYD,56749.0,12.0,2687.0,2851.0,2.0,128.0,102.0,0.0,21.0,24.0,1.0,676.0,568.0,2.0,247.0,195.0,17.0,22694.0,19534.0,3.0,4228.0,2757.0
GORDON,32006.0,6.0,633.0,832.0,0.0,94.0,84.0,0.0,22.0,28.0,0.0,863.0,714.0,0.0,114.0,93.0,1.0,14441.0,12846.0,0.0,653.0,582.0
HARALSON,19006.0,3.0,552.0,656.0,0.0,37.0,34.0,0.0,13.0,9.0,0.0,40.0,41.0,0.0,48.0,46.0,12.0,8850.0,7897.0,1.0,420.0,347.0
MURRAY,20694.0,3.0,848.0,957.0,0.0,58.0,42.0,0.0,8.0,7.0,0.0,488.0,460.0,0.0,20.0,18.0,9.0,9311.0,8360.0,0.0,46.0,59.0
PAULDING,109824.0,44.0,4832.0,4865.0,3.0,622.0,476.0,1.0,79.0,74.0,3.0,1661.0,1385.0,0.0,415.0,287.0,47.0,39337.0,35938.0,22.0,11214.0,8519.0
PICKENS,7759.0,0.0,267.0,353.0,0.0,12.0,10.0,0.0,6.0,8.0,0.0,42.0,23.0,0.0,16.0,13.0,0.0,3613.0,3359.0,0.0,14.0,23.0
POLK,22434.0,6.0,700.0,739.0,1.0,61.0,63.0,0.0,8.0,5.0,1.0,239.0,247.0,0.0,43.0,21.0,9.0,9468.0,8383.0,3.0,1463.0,974.0
WALKER,42004.0,11.0,2846.0,3022.0,0.0,117.0,78.0,0.0,20.0,17.0,0.0,113.0,97.0,0.0,65.0,53.0,19.0,18475.0,15758.0,0.0,749.0,564.0
WHITFIELD,49986.0,15.0,2637.0,2817.0,1.0,214.0,179.0,0.0,32.0,26.0,9.0,3263.0,3172.0,0.0,226.0,185.0,29.0,18822.0,16372.0,1.0,1083.0,903.0
TOTAL,429866.0,123.0,20328.0,21643.0,9.0,1526.0,1236.0,1.0,244.0,240.0,16.0,7685.0,6958.0,2.0,1374.0,1069.0,195.0,175568.0,155158.0,32.0,20882.0,15577.0
