COUNTY NAME,TOTAL VOTERS,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE
Congressional District 1,51.4,35.21,35.14,29.99,15.38,38.84,35.66,33.33,37.11,34.22,43.75,32.37,29.79,50.0,37.0,33.72,50.45,56.86,57.14,23.23,54.71,42.48
Congressional District 2,53.39,19.73,33.97,25.16,27.78,37.54,32.12,50.0,32.91,33.85,50.0,32.9,27.98,37.5,37.22,32.68,39.09,60.78,61.67,16.31,56.6,43.74
Congressional District 3,58.51,39.57,46.0,39.85,64.71,50.41,42.73,75.0,35.38,38.96,35.29,44.89,40.11,33.33,43.47,37.02,56.7,62.25,62.55,53.0,61.69,50.03
Congressional District 4,55.84,42.39,44.55,34.26,57.89,49.98,42.12,75.0,40.43,32.2,30.3,46.46,38.06,42.86,44.71,41.84,49.3,64.71,63.05,52.75,62.09,49.29
Congressional District 5,50.62,26.6,46.84,37.1,38.64,50.44,42.06,0.0,36.36,25.0,46.67,50.63,43.93,34.15,48.31,44.1,61.68,62.67,61.06,24.62,53.49,39.31
Congressional District 6,61.07,53.65,49.65,46.0,61.9,57.37,56.02,50.0,49.55,45.45,40.0,53.5,47.78,50.68,54.41,53.17,50.92,66.35,65.12,41.07,59.81,50.59
Congressional District 7,56.09,55.23,49.4,44.42,44.0,53.56,48.33,25.0,43.24,44.37,60.5,50.41,40.71,46.11,42.02,42.24,59.56,62.79,61.95,62.74,61.81,52.05
Congressional District 8,57.78,34.65,37.74,32.87,44.44,44.08,41.52,66.67,35.92,41.54,50.0,36.19,31.38,22.22,42.18,37.08,46.25,62.52,63.8,30.08,58.35,45.9
Congressional District 9,58.73,50.65,41.95,37.11,42.86,50.71,45.63,0.0,40.79,44.41,32.35,44.33,35.99,37.5,40.12,32.76,56.72,62.57,63.28,36.36,56.65,43.28
Congressional District 10,61.19,50.53,45.89,39.16,50.0,53.66,49.98,0.0,51.43,46.12,38.71,49.04,43.03,57.14,45.07,38.19,62.45,66.27,65.87,54.55,63.58,50.76
Congressional District 11,58.29,51.54,42.74,37.83,48.28,55.21,48.67,0.0,44.08,41.75,45.45,49.41,41.5,72.22,49.15,45.94,49.59,62.59,62.06,54.55,60.43,50.08
Congressional District 12,56.01,20.78,34.6,28.22,37.5,44.12,42.03,0.0,37.15,38.2,27.78,39.55,33.43,42.11,43.76,41.41,41.7,62.13,62.85,20.58,59.09,48.17
Congressional District 13,55.71,32.08,47.61,35.89,31.82,51.46,43.34,0.0,42.6,32.64,36.0,47.56,38.73,31.82,41.96,38.01,45.05,59.81,59.05,39.81,62.83,50.77
Congressional District 14,54.79,46.34,37.79,33.5,77.78,43.25,43.2,0.0,40.57,37.08,56.25,44.75,37.27,50.0,39.96,34.42,45.64,57.38,58.76,43.75,60.05,49.03
