CONGRESSIONAL DISTRICT,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
Congressional District 1,7.77,7.77,7.75,0.00,5.66,5.71,0.00,9.02,7.69,0.00,3.16,3.87,0.00,6.89,6.16,0.00,21.68,24.75,0.00,13.52,11.37,18.50
Congressional District 2,3.33,9.57,7.84,0.00,7.65,9.35,0.00,5.62,9.23,25.00,4.55,5.08,0.00,6.27,4.10,9.09,20.68,23.03,2.63,18.93,15.49,18.84
Congressional District 3,1.43,8.30,8.60,12.50,5.34,7.50,0.00,2.56,7.27,0.00,3.81,4.74,50.00,6.09,5.32,5.17,17.88,20.51,3.33,10.31,8.84,15.90
Congressional District 4,5.96,8.79,6.94,0.00,6.86,7.26,0.00,2.78,6.75,0.00,3.53,4.14,0.00,3.32,3.44,12.00,21.33,23.27,8.22,17.17,13.12,16.37
Congressional District 5,3.43,9.08,6.79,0.00,6.57,6.06,0.00,5.65,5.68,0.00,3.79,3.68,0.00,3.94,3.28,14.71,15.49,15.76,5.00,15.69,11.34,13.29
Congressional District 6,4.67,6.48,6.75,0.00,6.46,8.11,0.00,3.12,2.88,7.69,3.80,4.49,4.17,3.38,3.53,13.21,18.23,20.14,12.50,8.23,6.81,15.26
Congressional District 7,10.30,6.81,7.14,5.88,4.89,6.01,0.00,2.24,4.38,2.17,2.25,2.76,1.61,2.01,2.74,5.88,16.95,19.39,3.33,6.50,5.66,12.63
Congressional District 8,1.75,6.24,6.23,0.00,5.24,8.70,0.00,5.56,3.57,0.00,2.98,3.46,0.00,5.31,5.15,3.12,18.12,21.25,0.00,12.38,10.81,16.46
Congressional District 9,10.67,8.59,9.75,0.00,7.46,9.00,0.00,10.00,12.99,0.00,2.67,1.69,0.00,5.10,3.47,3.51,19.86,22.83,0.00,7.95,6.74,19.14
Congressional District 10,6.19,10.21,10.25,0.00,7.04,7.62,0.00,7.53,15.28,0.00,4.59,4.66,0.00,6.48,5.73,11.69,20.13,22.96,2.63,14.06,11.67,18.26
Congressional District 11,1.89,7.83,8.17,6.25,7.57,9.12,0.00,7.49,11.46,0.00,3.26,4.20,0.00,4.84,4.99,9.09,18.11,20.11,8.16,7.87,6.45,15.76
Congressional District 12,8.45,9.78,8.65,25.00,8.90,8.34,0.00,4.20,6.06,0.00,3.87,4.95,0.00,8.83,11.05,12.77,20.99,23.78,17.78,20.44,17.72,20.10
Congressional District 13,5.77,8.90,6.86,0.00,6.69,8.45,0.00,2.48,7.78,0.00,2.86,3.20,0.00,4.19,3.80,8.82,17.46,20.03,4.60,14.26,11.15,13.93
Congressional District 14,4.17,6.91,7.43,0.00,3.93,6.02,0.00,2.27,4.69,0.00,1.88,1.79,0.00,4.68,3.99,5.26,15.81,18.67,0.00,9.08,7.71,15.34
TOTAL,6.45,8.19,7.70,4.81,6.43,7.49,0.00,4.75,7.10,2.10,3.16,3.53,2.19,4.09,4.00,8.40,18.76,21.23,5.33,14.57,11.67,16.36
