CONGRESSIONAL DISTRICT,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
District 1,6.57,12.63,3.47,8.37,5.68,23.10,7.76,18.50
District 2,5.32,17.52,4.81,7.14,8.36,21.77,8.68,18.84
District 3,5.78,9.69,4.23,4.51,6.34,19.11,8.44,15.90
District 4,3.38,15.48,3.79,4.46,7.02,22.22,7.86,16.37
District 5,3.61,13.82,3.73,5.66,6.34,15.62,7.91,13.29
District 6,3.45,7.63,4.12,3.01,7.21,19.14,6.61,15.26
District 7,2.37,6.15,2.48,3.25,5.40,18.09,7.00,12.63
District 8,5.24,11.73,3.20,4.69,6.75,19.58,6.21,16.46
District 9,4.36,7.43,2.18,11.30,8.19,21.26,9.18,19.14
District 10,6.13,13.06,4.62,10.91,7.31,21.47,10.22,18.26
District 11,4.90,7.28,3.68,9.30,8.25,19.05,7.98,15.76
District 12,9.78,19.32,4.35,5.05,8.69,22.29,9.22,20.10
District 13,4.00,12.97,3.01,4.72,7.42,18.65,7.92,13.93
District 14,4.36,8.51,1.83,3.29,4.92,17.14,7.17,15.34
TOTAL,4.04,13.36,3.33,5.79,6.90,19.92,7.94,16.36
