CONGRESSIONAL DISTRICT,MALE,FEMALE,UNKNOWN,TOTAL
District 1,19.37,17.80,5.59,18.50
District 2,18.51,19.11,3.92,18.84
District 3,16.86,15.09,3.98,15.90
District 4,15.34,17.19,6.36,16.37
District 5,11.85,14.53,4.78,13.29
District 6,16.01,14.60,8.19,15.26
District 7,13.50,11.90,7.13,12.63
District 8,17.51,15.60,1.60,16.46
District 9,20.46,17.96,6.54,19.14
District 10,19.13,17.53,7.00,18.26
District 11,16.62,15.03,5.30,15.76
District 12,20.52,19.77,11.86,20.10
District 13,13.41,14.33,5.28,13.93
District 14,16.56,14.29,3.85,15.34
TOTAL,16.75,16.04,6.27,16.36
