COUNTY NAME,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
APPLING,17.07,13.35,5.51,0.00,12.20,32.62,8.42,27.88
ATKINSON,100.0,42.70,7.19,0.00,18.18,44.73,17.24,42.34
BACON,12.50,10.98,2.22,50.00,0.00,30.87,14.57,26.89
BAKER,0.00,16.43,0.00,0.00,12.50,22.28,16.00,19.19
BALDWIN,12.14,14.03,8.89,0.00,8.57,22.46,9.21,18.49
BANKS,3.45,9.73,0.00,16.67,14.81,22.73,9.21,21.64
BARROW,2.01,5.96,2.76,0.00,2.00,15.25,6.18,12.99
BARTOW,4.17,6.05,2.91,7.89,4.98,15.64,6.20,13.62
BEN HILL,3.12,7.82,0.92,0.00,3.85,11.00,3.95,9.60
BERRIEN,4.00,12.55,1.16,14.29,2.94,12.76,4.59,12.34
BIBB,6.10,20.65,6.13,11.63,10.50,28.45,8.45,23.43
BLECKLEY,4.00,9.97,0.00,0.00,25.00,13.13,6.00,12.26
BRANTLEY,16.67,14.84,0.00,0.00,0.00,22.99,6.69,22.04
BROOKS,9.52,18.35,4.88,0.00,5.26,17.59,9.96,17.31
BRYAN,1.42,7.18,2.61,5.56,2.14,15.03,6.78,12.84
BULLOCH,5.94,12.88,3.14,0.00,5.62,18.73,5.91,16.06
BURKE,0.00,17.65,0.00,20.00,6.00,18.34,5.30,17.41
BUTTS,11.54,16.72,5.43,0.00,4.71,22.27,11.78,19.95
CALHOUN,0.00,13.46,0.00,0.00,33.33,19.79,10.53,15.80
CAMDEN,13.36,8.50,3.77,8.70,5.41,18.55,8.04,14.73
CANDLER,5.88,8.72,2.20,0.00,0.00,19.83,5.86,15.98
CARROLL,3.37,6.17,1.83,0.00,4.78,16.72,7.00,13.78
CATOOSA,3.64,3.68,0.78,6.67,3.28,10.15,4.01,9.49
CHARLTON,17.65,9.50,0.00,0.00,11.54,20.84,9.83,17.24
CHATHAM,5.96,13.67,3.64,6.67,5.74,22.48,6.04,17.69
CHATTAHOOCHEE,2.27,6.66,0.00,0.00,0.00,11.94,3.94,9.10
CHATTOOGA,3.03,19.90,2.82,0.00,10.00,22.44,11.58,21.45
CHEROKEE,7.72,7.06,4.52,16.87,10.75,19.82,10.93,17.99
CLARKE,9.21,13.66,7.74,13.64,10.23,24.86,11.36,19.72
CLAY,0.00,10.09,0.00,0.00,0.00,21.02,4.00,14.50
CLAYTON,2.51,11.42,2.57,5.56,7.08,20.53,6.49,11.89
CLINCH,11.11,15.25,0.00,0.00,12.50,23.12,17.96,20.47
COBB,4.05,9.71,3.62,5.20,8.67,19.35,5.08,15.17
COFFEE,11.34,22.33,2.67,13.33,5.94,21.22,10.70,20.90
COLQUITT,3.90,10.48,0.96,0.00,9.17,25.14,7.70,20.23
COLUMBIA,10.84,11.17,4.27,2.67,7.93,18.53,7.08,16.03
COOK,0.00,8.58,2.33,0.00,0.00,15.40,4.55,12.99
