CONGRESSIONAL DISTRICT,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
Congressional District 1,103.0,13880.0,13887.0,0.0,2101.0,1507.0,0.0,122.0,117.0,2.0,3740.0,3001.0,1.0,1830.0,1428.0,17.0,137773.0,118232.0,20.0,68644.0,48428.0,414833.0
Congressional District 2,60.0,6061.0,6060.0,2.0,1398.0,1027.0,0.0,89.0,65.0,4.0,2306.0,1910.0,0.0,1307.0,1024.0,11.0,93430.0,81064.0,76.0,121436.0,83318.0,400648.0
Congressional District 3,70.0,15787.0,15526.0,8.0,2040.0,1720.0,0.0,78.0,55.0,8.0,3360.0,2804.0,2.0,1904.0,1503.0,58.0,161508.0,141917.0,30.0,55941.0,40198.0,444517.0
Congressional District 4,151.0,15923.0,15587.0,10.0,3951.0,2823.0,2.0,216.0,163.0,11.0,4248.0,3283.0,11.0,3941.0,3838.0,25.0,70581.0,60193.0,73.0,150778.0,108385.0,444193.0
Congressional District 5,175.0,26337.0,26857.0,3.0,3546.0,2906.0,0.0,124.0,88.0,8.0,3348.0,3098.0,14.0,3525.0,3385.0,34.0,69379.0,68586.0,80.0,153891.0,115545.0,480929.0
Congressional District 6,107.0,22726.0,21882.0,15.0,4440.0,3824.0,0.0,160.0,139.0,13.0,6098.0,5010.0,24.0,9146.0,8576.0,106.0,165131.0,149091.0,16.0,32640.0,23658.0,452802.0
Congressional District 7,427.0,23132.0,22740.0,34.0,4724.0,3896.0,4.0,268.0,251.0,46.0,11090.0,8937.0,62.0,11253.0,11264.0,204.0,121430.0,108818.0,120.0,44586.0,31585.0,404871.0
Congressional District 8,57.0,6927.0,7307.0,2.0,1412.0,1104.0,0.0,108.0,84.0,5.0,2581.0,2107.0,0.0,1734.0,1360.0,32.0,138430.0,120962.0,29.0,67419.0,46682.0,398342.0
Congressional District 9,75.0,11585.0,11980.0,2.0,912.0,856.0,0.0,100.0,77.0,12.0,4339.0,4332.0,2.0,1295.0,1066.0,57.0,178465.0,159073.0,5.0,13644.0,10126.0,398003.0
Congressional District 10,113.0,15266.0,15333.0,3.0,1718.0,1561.0,0.0,93.0,72.0,11.0,3137.0,2724.0,1.0,2100.0,1799.0,77.0,151840.0,136526.0,38.0,57477.0,40887.0,430776.0
Congressional District 11,106.0,14016.0,14590.0,16.0,3038.0,2424.0,0.0,187.0,157.0,11.0,6650.0,5434.0,5.0,3431.0,2926.0,77.0,172170.0,154124.0,49.0,40864.0,28805.0,449080.0
Congressional District 12,71.0,11788.0,11687.0,4.0,1888.0,1319.0,0.0,119.0,99.0,5.0,2841.0,2284.0,5.0,2060.0,1575.0,47.0,126525.0,110740.0,45.0,79191.0,55598.0,407891.0
Congressional District 13,104.0,17174.0,15469.0,4.0,3768.0,2674.0,1.0,121.0,90.0,7.0,5534.0,4462.0,9.0,2865.0,2445.0,34.0,72409.0,62772.0,87.0,144377.0,102142.0,436548.0
Congressional District 14,24.0,10906.0,10982.0,1.0,1017.0,914.0,0.0,88.0,64.0,0.0,4676.0,4703.0,1.0,962.0,827.0,19.0,164125.0,142698.0,7.0,17318.0,12477.0,371809.0
TOTAL,1643.0,211508.0,209887.0,104.0,35953.0,28555.0,7.0,1873.0,1521.0,143.0,63948.0,54089.0,137.0,47353.0,43016.0,798.0,1823196.0,1614796.0,675.0,1048206.0,747834.0,5935242.0
