COUNTY NAME,MALE,FEMALE,UNKNOWN,TOTAL
APPLING,28.56,27.31,0.00,27.88
ATKINSON,42.64,42.13,0.00,42.34
BACON,29.69,24.53,0.00,26.89
BAKER,19.11,19.27,0.00,19.19
BALDWIN,19.82,17.46,0.00,18.49
BANKS,23.68,19.74,0.00,21.64
BARROW,13.75,12.34,4.44,12.99
BARTOW,14.71,12.64,0.00,13.62
BEN HILL,10.45,8.93,0.00,9.60
BERRIEN,13.58,11.27,0.00,12.34
BIBB,23.22,23.60,0.00,23.43
BLECKLEY,13.67,11.08,0.00,12.26
BRANTLEY,23.03,21.16,0.00,22.04
BROOKS,16.97,17.59,0.00,17.31
BRYAN,13.81,12.01,11.11,12.84
BULLOCH,16.08,16.05,0.00,16.06
BURKE,17.09,17.68,0.00,17.41
BUTTS,20.59,19.40,11.11,19.95
CALHOUN,15.07,16.38,0.00,15.80
CAMDEN,16.14,13.57,0.00,14.73
CANDLER,18.34,14.03,0.00,15.98
CARROLL,15.23,12.56,0.00,13.78
CATOOSA,10.88,8.32,0.00,9.49
CHARLTON,17.99,16.59,0.00,17.24
CHATHAM,17.78,17.63,3.85,17.69
CHATTAHOOCHEE,10.11,8.25,0.00,9.10
CHATTOOGA,23.56,19.65,0.00,21.45
CHEROKEE,18.79,17.27,28.57,17.99
CLARKE,19.99,19.51,4.44,19.72
CLAY,15.54,13.75,0.00,14.50
CLAYTON,10.57,12.90,2.04,11.89
CLINCH,21.43,19.70,0.00,20.47
COBB,15.81,14.65,5.50,15.17
COFFEE,20.90,20.90,0.00,20.90
COLQUITT,21.39,19.28,0.00,20.23
COLUMBIA,17.52,14.74,3.64,16.03
COOK,14.70,11.56,0.00,12.99
COWETA,13.68,11.85,4.35,12.69
CRAWFORD,15.37,14.05,0.00,14.68
CRISP,22.45,19.50,0.00,20.76
DADE,19.31,17.47,0.00,18.35
DAWSON,21.90,19.81,100.0,20.81
DECATUR,16.81,14.59,18.18,15.56
DEKALB,15.66,18.08,1.45,17.01
DODGE,22.32,18.77,0.00,20.39
DOOLY,16.13,15.54,0.00,15.79
DOUGHERTY,18.56,19.77,1.32,19.23
DOUGLAS,14.70,14.04,8.82,14.33
EARLY,11.89,14.31,0.00,13.25
ECHOLS,19.16,18.21,0.00,18.66
EFFINGHAM,15.57,14.22,0.00,14.86
ELBERT,14.94,12.46,0.00,13.59
EMANUEL,20.22,18.96,0.00,19.51
EVANS,23.26,21.04,0.00,22.01
FANNIN,27.90,25.02,0.00,26.39
FAYETTE,20.54,19.13,7.55,19.78
FLOYD,18.14,15.10,20.00,16.48
FORSYTH,19.43,18.15,8.96,18.75
FRANKLIN,19.74,16.90,0.00,18.25
FULTON,12.84,14.02,6.42,13.47
GILMER,31.36,28.81,0.00,30.05
GLASCOCK,26.66,27.55,0.00,27.15
GLYNN,22.16,19.30,13.79,20.57
GORDON,17.48,14.91,0.00,16.12
GRADY,21.40,19.58,50.00,20.40
GREENE,33.57,34.52,0.00,34.08
GWINNETT,12.64,11.13,7.27,11.81
HABERSHAM,21.00,19.15,0.00,20.02
HALL,17.21,14.95,2.70,16.00
HANCOCK,29.51,36.66,100.0,33.39
HARALSON,21.48,19.15,0.00,20.23
HARRIS,16.17,14.45,0.00,15.27
HART,17.83,14.29,0.00,15.92
HEARD,18.71,17.92,0.00,18.29
HENRY,13.71,12.39,7.41,12.99
HOUSTON,14.41,12.34,0.00,13.27
IRWIN,20.32,17.57,50.00,18.84
JACKSON,17.17,13.89,14.29,15.44
JASPER,16.93,15.24,0.00,16.04
JEFF DAVIS,21.77,19.54,0.00,20.56
JEFFERSON,13.02,13.10,0.00,13.06
JENKINS,13.74,13.47,0.00,13.60
JOHNSON,22.11,19.07,0.00,20.45
JONES,19.14,17.68,0.00,18.35
LAMAR,16.58,13.89,0.00,15.13
LANIER,17.97,15.40,0.00,16.56
LAURENS,23.37,21.65,20.00,22.42
LEE,19.18,17.02,0.00,18.02
LIBERTY,15.13,12.98,0.00,13.92
LINCOLN,28.32,31.07,0.00,29.76
LONG,10.15,7.95,0.00,8.93
LOWNDES,14.08,11.89,0.00,12.86
LUMPKIN,24.33,21.77,0.00,22.98
MCDUFFIE,18.00,17.62,0.00,17.78
MCINTOSH,35.31,36.40,0.00,35.89
MACON,17.82,20.47,0.00,19.27
MADISON,19.20,15.41,0.00,17.19
MARION,29.82,31.36,0.00,30.64
MERIWETHER,14.55,14.38,0.00,14.45
MILLER,11.01,7.80,0.00,9.24
MITCHELL,12.49,12.18,0.00,12.31
MONROE,22.60,19.97,0.00,21.19
MONTGOMERY,34.23,30.92,0.00,32.46
MORGAN,22.24,19.99,0.00,21.03
MURRAY,17.33,15.67,0.00,16.47
MUSCOGEE,19.82,20.61,8.70,20.27
NEWTON,15.97,15.58,16.67,15.75
OCONEE,23.10,19.03,5.00,20.95
OGLETHORPE,18.38,16.15,0.00,17.19
PAULDING,13.20,11.75,4.17,12.42
PEACH,14.14,13.52,0.00,13.80
PICKENS,24.29,21.51,0.00,22.82
PIERCE,30.49,26.00,0.00,28.06
PIKE,22.42,20.76,0.00,21.56
POLK,23.29,20.74,0.00,21.92
PULASKI,18.77,13.42,0.00,15.85
PUTNAM,20.06,17.44,0.00,18.64
QUITMAN,33.95,31.63,0.00,32.64
RABUN,26.67,24.17,0.00,25.35
RANDOLPH,17.60,21.42,0.00,19.76
RICHMOND,23.08,23.86,16.83,23.51
ROCKDALE,17.12,16.85,0.00,16.97
SCHLEY,13.12,11.30,0.00,12.11
SCREVEN,12.28,11.67,0.00,11.95
SEMINOLE,14.96,14.51,0.00,14.71
SPALDING,17.36,15.00,9.09,16.05
STEPHENS,18.96,16.87,0.00,17.82
STEWART,20.18,25.28,0.00,22.94
SUMTER,24.26,25.37,0.00,24.89
TALBOT,11.06,12.80,0.00,12.01
TALIAFERRO,18.15,19.23,0.00,18.70
TATTNALL,18.96,15.48,28.57,17.06
TAYLOR,13.79,14.19,0.00,14.01
TELFAIR,16.64,14.93,0.00,15.72
TERRELL,18.41,21.38,0.00,20.05
THOMAS,3.75,3.37,0.00,3.54
TIFT,22.35,19.15,0.00,20.55
TOOMBS,29.01,25.81,0.00,27.22
TOWNS,20.69,19.40,0.00,20.01
TREUTLEN,21.38,21.20,0.00,21.28
TROUP,16.52,14.82,0.00,15.58
TURNER,18.65,17.48,25.00,18.01
TWIGGS,27.08,30.53,0.00,28.88
UNION,24.40,21.81,33.33,23.03
UPSON,26.98,25.66,0.00,26.24
WALKER,15.17,12.82,0.00,13.90
WALTON,19.39,17.08,15.38,18.15
WARE,23.80,20.27,0.00,21.80
WARREN,18.86,21.00,0.00,20.04
WASHINGTON,17.60,15.59,0.00,16.47
WAYNE,31.55,27.70,0.00,29.43
WEBSTER,34.83,32.48,0.00,33.57
WHEELER,16.58,15.34,0.00,15.91
WHITE,18.47,16.71,0.00,17.54
WHITFIELD,18.20,16.02,0.00,17.05
WILCOX,20.69,20.75,0.00,20.73
WILKES,18.65,17.51,0.00,18.02
WILKINSON,35.60,36.82,0.00,36.26
WORTH,19.10,16.78,0.00,17.84
TOTAL,16.75,16.04,6.33,16.36
