CONGRESSIONAL DISTRICT,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
Congressional District 1,8.0,1079.0,1076.0,0.0,119.0,86.0,0.0,11.0,9.0,0.0,118.0,116.0,0.0,126.0,88.0,0.0,29870.0,29259.0,0.0,9282.0,5504.0,76751.0
Congressional District 2,2.0,580.0,475.0,0.0,107.0,96.0,0.0,5.0,6.0,1.0,105.0,97.0,0.0,82.0,42.0,1.0,19325.0,18670.0,2.0,22988.0,12903.0,75487.0
Congressional District 3,1.0,1311.0,1336.0,1.0,109.0,129.0,0.0,2.0,4.0,0.0,128.0,133.0,1.0,116.0,80.0,3.0,28884.0,29110.0,1.0,5767.0,3553.0,70669.0
Congressional District 4,9.0,1399.0,1082.0,0.0,271.0,205.0,0.0,6.0,11.0,0.0,150.0,136.0,0.0,131.0,132.0,3.0,15055.0,14006.0,6.0,25896.0,14221.0,72719.0
Congressional District 5,6.0,2392.0,1824.0,0.0,233.0,176.0,0.0,7.0,5.0,0.0,127.0,114.0,0.0,139.0,111.0,5.0,10747.0,10807.0,4.0,24143.0,13098.0,63938.0
Congressional District 6,5.0,1473.0,1476.0,0.0,287.0,310.0,0.0,5.0,4.0,1.0,232.0,225.0,1.0,309.0,303.0,14.0,30102.0,30033.0,2.0,2685.0,1612.0,69079.0
Congressional District 7,44.0,1576.0,1623.0,2.0,231.0,234.0,0.0,6.0,11.0,1.0,249.0,247.0,1.0,226.0,309.0,12.0,20580.0,21099.0,4.0,2897.0,1789.0,51141.0
Congressional District 8,1.0,432.0,455.0,0.0,74.0,96.0,0.0,6.0,3.0,0.0,77.0,73.0,0.0,92.0,70.0,1.0,25077.0,25710.0,0.0,8347.0,5045.0,65559.0
Congressional District 9,8.0,995.0,1168.0,0.0,68.0,77.0,0.0,10.0,10.0,0.0,116.0,73.0,0.0,66.0,37.0,2.0,35444.0,36319.0,0.0,1085.0,682.0,76160.0
Congressional District 10,7.0,1559.0,1572.0,0.0,121.0,119.0,0.0,7.0,11.0,0.0,144.0,127.0,0.0,136.0,103.0,9.0,30566.0,31340.0,1.0,8083.0,4770.0,78675.0
Congressional District 11,2.0,1098.0,1192.0,1.0,230.0,221.0,0.0,14.0,18.0,0.0,217.0,228.0,0.0,166.0,146.0,7.0,31182.0,30993.0,4.0,3215.0,1858.0,70792.0
Congressional District 12,6.0,1153.0,1011.0,1.0,168.0,110.0,0.0,5.0,6.0,0.0,110.0,113.0,0.0,182.0,174.0,6.0,26558.0,26339.0,8.0,16189.0,9854.0,81993.0
Congressional District 13,6.0,1528.0,1061.0,0.0,252.0,226.0,0.0,3.0,7.0,0.0,158.0,143.0,0.0,120.0,93.0,3.0,12641.0,12574.0,4.0,20588.0,11385.0,60792.0
Congressional District 14,1.0,754.0,816.0,0.0,40.0,55.0,0.0,2.0,3.0,0.0,88.0,84.0,0.0,45.0,33.0,1.0,25948.0,26636.0,0.0,1573.0,962.0,57041.0
TOTAL,106.0,17329.0,16167.0,5.0,2310.0,2140.0,0.0,89.0,108.0,3.0,2019.0,1909.0,3.0,1936.0,1721.0,67.0,341979.0,342895.0,36.0,152738.0,87236.0,970796.0
