CONGRESSIONAL DISTRICT,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
Congressional District 1,7.000,880.0,917.0,0.00,84.00,82.00,0.00,9.000,4.000,1.000,86.00,102.0,0.00,74.00,59.00,4.000,18639.0,19001.0,1.000,5205.0,2672.0,47827.0
Congressional District 2,4.000,356.0,337.0,0.00,41.00,41.00,0.00,7.000,8.000,1.000,47.00,51.00,0.00,45.00,26.00,1.000,14112.0,14577.0,4.000,8388.0,4412.0,42458.0
Congressional District 3,9.000,1281.0,1389.0,0.00,107.0,103.0,0.00,14.00,7.000,0.00,126.0,125.0,0.00,90.00,53.00,14.00,26344.0,27330.0,0.00,2637.0,1561.0,61190.0
Congressional District 4,9.000,874.0,708.0,0.00,153.0,106.0,0.00,1.000,12.00,0.00,137.0,84.00,1.000,136.0,135.0,3.000,11250.0,10598.0,3.000,11003.0,5656.0,40869.0
Congressional District 5,8.000,1147.0,943.0,0.00,107.0,79.00,0.00,1.000,8.000,1.000,91.00,84.00,0.00,112.0,92.00,6.000,6719.0,6713.0,4.000,8717.0,4344.0,29176.0
Congressional District 6,25.00,2207.0,2060.0,0.00,504.0,389.0,0.00,27.00,15.00,0.00,491.0,392.0,5.000,668.0,647.0,28.00,33523.0,31729.0,3.000,3837.0,2297.0,78847.0
Congressional District 7,78.00,2836.0,2736.0,4.000,376.0,342.0,0.00,18.00,32.00,2.000,541.0,443.0,15.00,1068.0,1123.0,21.00,20819.0,20741.0,7.000,3976.0,2273.0,57451.0
Congressional District 8,6.000,462.0,541.0,0.00,71.00,69.00,0.00,5.000,11.00,1.000,86.00,88.00,0.00,88.00,62.00,6.000,22138.0,23521.0,2.000,4151.0,2233.0,53541.0
Congressional District 9,17.00,1773.0,2055.0,0.00,89.00,84.00,0.00,17.00,28.00,1.000,147.0,124.0,0.00,84.00,54.00,19.00,35219.0,36779.0,0.00,659.0,400.0,77549.0
Congressional District 10,14.00,1564.0,1660.0,0.00,104.0,103.0,0.00,8.000,13.00,0.00,135.0,148.0,0.00,117.0,84.00,15.00,29589.0,30773.0,5.000,3850.0,2126.0,70308.0
Congressional District 11,10.00,1071.0,1156.0,2.000,151.0,191.0,0.00,13.00,20.00,0.00,200.0,219.0,0.00,172.0,123.0,14.00,26696.0,27889.0,0.00,1252.0,705.0,59884.0
Congressional District 12,2.000,671.0,742.0,1.000,66.00,75.00,0.00,5.000,14.00,0.00,89.00,89.00,0.00,130.0,95.00,7.000,20500.0,21475.0,0.00,2881.0,1653.0,48495.0
Congressional District 13,6.000,971.0,720.0,0.00,158.0,151.0,0.00,15.00,12.00,0.00,146.0,123.0,0.00,106.0,81.00,2.000,11474.0,11271.0,3.000,8896.0,4682.0,38817.0
Congressional District 14,3.000,688.0,837.0,0.00,42.00,48.00,0.00,9.000,9.000,0.00,76.00,84.00,0.00,31.00,30.00,4.000,19451.0,21405.0,1.000,517.0,296.0,43531.0
TOTAL,198.0,16781.0,16801.0,7.000,2053.0,1863.0,0.00,149.0,193.0,7.000,2398.0,2156.0,21.00,2921.0,2664.0,144.0,296473.0,303802.0,33.00,65969.0,35310.0,749943.0
