COUNTY NAME,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
APPLING,4.26,2.95,2.81,0.0,0.0,18.93,4.07,14.66
ATKINSON,0.0,14.66,2.46,0.0,20.0,18.52,1.23,16.17
BACON,11.76,1.19,1.43,20.0,0.0,15.52,3.92,12.61
BAKER,0.0,7.32,0.0,0.0,16.67,23.78,2.5,15.67
BALDWIN,3.11,8.5,4.05,0.0,2.91,21.29,4.88,15.0
BANKS,2.33,1.9,5.23,0.0,13.33,21.98,7.36,19.97
BARROW,2.29,2.26,1.45,5.41,2.49,15.9,5.13,12.33
BARTOW,2.8,1.73,1.42,4.48,2.76,14.64,4.64,11.78
BEN HILL,4.44,4.41,0.83,0.0,3.45,14.79,3.22,10.54
BERRIEN,0.0,3.8,4.76,0.0,6.67,16.89,4.4,14.78
BIBB,4.92,9.2,3.16,8.08,4.17,21.58,4.32,13.77
BLECKLEY,4.55,5.21,5.13,0.0,4.0,22.79,8.42,18.4
BRANTLEY,0.0,3.64,0.0,0.0,0.0,10.3,1.86,9.52
BROOKS,6.25,2.33,2.99,0.0,3.92,13.82,4.38,8.88
BRYAN,0.86,3.12,2.76,3.51,3.41,10.58,3.78,8.42
BULLOCH,3.97,1.69,1.55,5.0,2.15,14.84,3.28,10.03
BURKE,0.0,4.18,3.03,0.0,9.38,15.57,2.12,9.15
BUTTS,13.33,2.72,6.02,8.33,2.75,19.91,8.75,14.86
CALHOUN,12.5,7.57,0.0,0.0,0.0,17.84,0.97,11.18
CAMDEN,8.33,6.3,2.1,0.0,3.31,10.75,4.06,8.39
CANDLER,0.0,2.92,0.85,0.0,0.0,15.98,1.69,11.32
CARROLL,2.78,1.47,1.54,2.53,2.65,16.03,5.71,12.12
CATOOSA,3.4,0.89,1.2,2.94,1.39,8.01,2.34,6.93
CHARLTON,9.38,3.15,0.0,0.0,0.0,11.33,2.93,8.53
CHATHAM,2.28,7.41,1.92,2.68,3.44,13.41,3.28,9.82
CHATTAHOOCHEE,1.59,16.35,0.53,0.0,0.0,11.51,2.11,10.64
CHATTOOGA,0.0,4.04,0.98,7.14,4.11,11.62,2.82,10.08
CHEROKEE,4.12,1.74,2.23,3.09,5.77,14.48,5.73,12.27
CLARKE,2.29,3.97,1.34,2.13,2.49,11.81,3.46,8.16
CLAY,0.0,14.15,0.0,0.0,0.0,32.15,1.61,20.99
CLAYTON,1.68,3.39,1.27,2.83,2.31,17.74,2.02,4.72
CLINCH,0.0,3.45,0.0,0.0,0.0,10.12,2.41,7.72
