COUNTY NAME,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-OVER,TOTAL
APPLING,2.940,2.830,8.050,7.640,9.750,10.13,11.33,18.54,23.22,28.05,14.66
ATKINSON,5.480,3.210,4.560,7.760,10.94,13.87,18.46,17.91,26.82,30.82,16.17
BACON,2.460,2.920,4.140,4.000,7.180,10.24,9.940,13.10,18.72,27.54,12.61
BAKER,3.410,1.760,5.160,8.280,9.520,12.73,16.06,21.21,23.38,26.44,15.67
BALDWIN,2.240,1.970,4.210,6.160,7.220,10.34,14.72,18.73,24.04,31.50,15.00
BANKS,5.350,4.280,6.140,10.93,14.82,18.91,20.71,24.03,27.77,38.15,19.97
BARROW,2.190,2.590,3.360,5.390,8.070,9.940,13.35,16.79,20.87,30.25,12.33
BARTOW,1.990,1.940,2.910,4.920,6.060,9.060,13.13,16.63,20.63,26.76,11.78
BEN HILL,1.230,1.720,3.600,4.000,4.780,7.430,9.680,14.27,18.15,20.64,10.54
BERRIEN,3.610,3.850,6.120,8.130,11.61,11.76,12.99,16.57,21.73,28.46,14.78
BIBB,2.580,2.220,3.740,5.440,7.880,10.70,13.76,18.66,23.29,30.73,13.77
BLECKLEY,5.360,2.610,5.630,8.600,12.23,13.77,17.97,23.09,31.66,33.55,18.40
BRANTLEY,1.450,1.860,3.490,3.590,5.650,8.760,10.34,12.02,15.26,18.75,9.520
BROOKS,1.670,1.590,3.560,4.320,3.820,4.770,5.570,10.58,12.54,18.71,8.880
BRYAN,1.900,2.150,2.440,3.020,4.040,6.720,10.43,12.35,17.01,20.34,8.420
BULLOCH,1.410,1.560,4.240,5.970,6.960,8.250,11.63,14.26,18.83,25.23,10.03
BURKE,1.810,1.390,2.490,2.260,4.690,6.170,8.270,10.32,13.91,21.92,9.150
BUTTS,3.780,1.900,3.590,6.460,7.830,11.60,16.53,18.00,22.51,31.83,14.86
CALHOUN,2.440,1.210,2.600,4.440,6.220,9.050,10.55,10.75,15.03,22.63,11.18
CAMDEN,1.330,1.310,1.530,2.810,4.420,6.280,8.300,11.60,13.65,20.19,8.390
CANDLER,1.520,2.070,3.370,4.670,4.180,10.68,11.02,13.13,13.04,23.97,11.32
CARROLL,2.120,2.020,3.250,5.370,7.120,9.940,12.63,15.85,21.39,29.18,12.12
CATOOSA,1.360,0.970,1.380,2.250,3.230,4.960,6.990,7.380,11.06,15.62,6.930
CHARLTON,2.580,1.460,4.410,3.360,3.170,5.450,5.520,8.990,12.24,19.61,8.530
CHATHAM,1.520,1.210,2.390,3.830,5.150,7.870,9.670,12.44,16.51,24.98,9.820
CHATTAHOOCHEE,2.610,1.250,1.450,4.500,7.510,11.15,13.13,24.34,31.11,36.39,10.64
CHATTOOGA,2.130,1.090,3.010,4.340,6.620,7.300,7.670,12.95,15.25,19.91,10.08
CHEROKEE,2.790,2.340,3.290,4.600,6.250,9.190,12.54,16.92,20.96,26.88,12.27
CLARKE,1.620,1.500,2.450,3.570,5.310,7.820,9.720,11.93,15.20,23.75,8.160
CLAY,5.220,2.030,6.020,14.09,6.560,15.20,14.97,26.39,33.73,34.32,20.99
CLAYTON,0.640,0.640,0.940,1.630,2.340,3.540,4.840,7.020,10.17,16.09,4.720
CLINCH,1.340,0.950,2.280,3.150,4.530,6.860,8.330,7.330,12.46,15.82,7.720
COBB,3.080,1.900,3.170,4.550,6.520,9.020,12.47,16.84,22.01,31.24,12.21
COFFEE,2.110,1.650,2.190,5.060,5.870,7.880,9.390,12.67,13.70,19.28,9.120
COLQUITT,2.450,2.280,3.720,5.970,6.920,10.07,13.00,15.60,21.82,27.85,13.40
COLUMBIA,4.210,3.330,5.100,7.620,10.23,13.27,18.46,23.61,29.61,36.71,16.76
COOK,2.630,2.630,3.400,4.710,7.240,9.740,12.88,14.34,16.67,25.67,11.93
COWETA,2.320,2.120,3.130,4.140,5.940,8.550,11.97,14.45,19.40,28.15,11.72
CRAWFORD,2.430,2.380,3.330,6.790,8.190,9.460,13.00,16.25,19.35,26.06,13.41
CRISP,1.330,1.810,2.580,2.660,5.210,7.710,8.200,11.39,15.85,24.17,10.48
DADE,1.080,1.390,3.940,5.050,6.570,9.520,8.880,12.53,17.79,19.85,9.860
DAWSON,3.040,2.910,3.990,6.690,10.40,11.32,15.39,18.68,25.30,33.79,17.22
DECATUR,2.180,2.260,4.050,5.080,6.680,9.430,9.960,13.62,15.19,21.51,10.77
DEKALB,2.050,1.600,2.640,3.880,5.190,7.060,9.520,11.93,15.48,21.80,8.500
DODGE,3.510,3.320,5.600,8.640,10.34,13.01,16.89,17.86,22.64,27.57,15.70
DOOLY,2.110,4.050,5.800,4.430,6.890,8.470,10.24,14.88,16.88,24.41,12.56
DOUGHERTY,0.710,0.780,1.390,2.280,3.000,4.440,7.470,9.990,14.02,21.64,7.950
DOUGLAS,1.390,1.210,1.570,2.440,3.580,5.240,7.670,10.90,14.71,23.23,8.010
EARLY,3.240,6.000,9.540,13.85,14.39,16.89,20.29,22.66,32.91,35.29,20.33
ECHOLS,3.980,5.590,7.140,8.090,6.590,11.32,11.66,15.98,18.18,26.63,13.17
EFFINGHAM,2.190,1.690,1.890,3.250,5.030,6.940,10.01,12.64,17.27,25.41,9.460
ELBERT,2.160,4.060,4.370,5.560,10.05,9.000,14.56,14.48,20.13,27.08,14.64
EMANUEL,3.500,2.780,5.180,6.810,8.670,10.38,12.93,17.75,20.19,26.90,13.76
EVANS,2.340,1.730,3.600,6.780,7.480,10.26,10.06,18.58,20.93,28.21,13.92
FANNIN,4.610,3.270,5.540,8.660,10.82,14.41,16.36,19.66,24.33,30.22,19.45
FAYETTE,2.750,1.780,2.990,4.300,5.280,7.290,11.99,16.35,21.98,30.68,13.85
FLOYD,2.070,1.370,2.400,2.980,4.900,6.690,9.020,11.96,17.04,24.72,10.84
FORSYTH,4.270,2.620,4.050,6.070,7.700,11.35,15.00,20.37,24.40,34.73,15.00
FRANKLIN,3.870,2.840,5.040,5.880,6.780,9.450,12.72,14.51,18.12,26.83,13.46
FULTON,2.260,1.670,2.510,3.550,5.120,7.200,9.490,12.51,15.88,22.27,8.430
GILMER,2.820,2.480,6.310,6.290,8.370,10.91,14.39,17.38,21.90,27.35,16.77
GLASCOCK,9.470,10.42,8.330,11.03,9.210,15.87,17.51,21.86,23.27,30.21,18.06
GLYNN,2.860,2.030,3.650,5.690,8.350,10.46,11.33,14.89,20.70,27.16,13.86
GORDON,2.470,1.410,2.940,4.480,7.580,10.53,12.91,16.25,18.29,25.73,12.08
GRADY,2.220,2.290,4.590,5.430,6.480,7.460,8.380,14.43,17.66,22.01,11.54
GREENE,3.030,2.420,3.820,6.010,5.570,9.790,11.78,15.55,20.65,30.82,17.82
GWINNETT,2.640,1.900,2.980,4.300,5.890,8.440,11.68,15.96,20.18,27.02,10.65
HABERSHAM,4.780,2.980,6.010,8.310,11.70,14.54,19.18,24.15,25.33,35.34,19.28
HALL,3.760,3.780,5.290,6.600,8.870,13.33,18.21,21.82,26.65,34.34,16.84
HANCOCK,2.840,1.740,1.300,3.700,4.480,7.440,9.920,10.05,13.01,19.44,10.23
HARALSON,3.730,4.350,4.440,7.080,9.840,13.08,16.39,19.93,24.30,31.67,15.68
HARRIS,1.760,1.930,2.560,2.600,5.260,6.390,10.91,12.47,17.94,25.93,11.62
HART,3.380,2.520,2.250,5.550,5.480,6.480,9.660,13.00,15.24,18.95,11.09
HEARD,3.000,2.230,3.520,5.310,8.400,10.61,13.33,20.42,23.67,33.82,15.53
HENRY,3.710,2.410,4.120,6.510,9.530,13.16,16.67,21.33,25.02,32.75,14.31
HOUSTON,2.570,1.620,2.300,3.500,5.740,7.240,10.61,14.83,18.94,26.21,10.65
IRWIN,4.570,4.540,5.670,4.820,6.250,10.63,13.24,16.77,15.67,24.71,13.23
JACKSON,3.470,2.970,4.140,6.080,8.530,11.77,15.21,18.46,23.10,32.43,14.56
JASPER,4.540,2.950,5.840,8.650,9.500,16.69,16.23,21.68,25.52,32.81,17.42
JEFF DAVIS,2.960,2.290,4.660,5.260,8.850,8.780,11.28,13.25,18.72,21.30,11.29
JEFFERSON,2.930,1.650,2.280,3.650,5.700,8.010,8.880,12.28,17.59,21.87,10.96
JENKINS,1.160,3.740,3.260,2.740,5.710,7.300,8.130,11.81,15.19,22.36,10.70
JOHNSON,7.320,5.770,5.280,11.44,12.43,17.69,18.53,21.05,23.17,27.47,17.64
JONES,3.390,2.910,5.330,5.940,7.850,12.59,15.63,18.62,25.43,35.03,16.20
LAMAR,2.610,2.570,5.230,6.370,10.32,12.20,13.90,16.64,23.49,31.47,15.40
LANIER,4.800,3.870,5.830,8.370,11.61,11.79,14.32,14.19,20.92,26.12,13.11
LAURENS,2.920,3.020,4.590,6.660,7.200,9.720,11.11,17.71,22.56,31.58,14.79
LEE,1.330,1.490,2.680,3.640,5.200,6.290,8.820,15.46,19.53,27.92,10.40
LIBERTY,0.630,0.580,1.030,1.370,2.190,4.460,5.920,8.230,10.93,17.65,5.270
LINCOLN,6.790,4.720,4.710,6.200,8.650,12.74,17.24,18.65,25.52,30.25,17.60
LONG,0.660,1.260,2.550,2.860,4.180,5.350,8.180,12.89,14.83,17.53,6.630
LOWNDES,1.420,0.830,1.350,2.320,3.350,5.850,7.000,8.180,12.28,18.70,6.830
LUMPKIN,3.200,3.150,5.220,7.170,11.05,13.24,18.72,20.63,23.42,32.57,16.71
MCDUFFIE,2.220,1.460,2.410,3.620,6.970,7.740,11.41,12.47,17.49,30.10,12.62
MCINTOSH,2.040,2.110,3.990,3.990,4.950,8.450,11.20,14.27,18.79,24.57,13.03
MACON,0.330,1.080,2.770,1.900,4.780,6.550,7.250,10.56,15.86,18.70,9.130
MADISON,4.770,4.760,6.980,11.82,11.79,16.97,19.27,23.32,29.05,35.58,19.08
MARION,1.970,1.650,2.070,3.990,7.990,6.670,7.490,9.350,13.80,18.21,8.990
MERIWETHER,2.340,1.290,2.930,3.310,5.410,7.210,10.22,14.79,18.89,25.29,12.26
MILLER,6.040,7.480,5.810,13.91,14.68,17.20,19.31,25.96,28.78,32.89,20.11
MITCHELL,1.790,2.430,3.180,4.480,3.760,8.540,9.370,13.78,17.46,24.38,11.35
MONROE,5.060,3.610,5.970,9.590,15.87,15.97,20.78,25.97,29.20,37.02,20.36
MONTGOMERY,7.080,7.300,11.00,16.89,16.26,17.52,22.86,24.75,29.05,39.67,22.74
MORGAN,4.080,2.970,7.890,8.140,9.880,13.12,16.43,18.88,23.21,34.24,17.48
MURRAY,2.450,1.690,3.270,4.020,6.030,6.780,7.850,11.15,13.11,18.06,8.650
MUSCOGEE,0.970,0.850,1.680,2.320,3.020,3.800,6.400,8.560,12.60,19.39,6.920
NEWTON,2.350,1.820,2.880,4.370,6.290,8.390,12.11,14.67,18.69,26.46,10.92
OCONEE,7.360,6.120,9.020,10.36,14.12,18.31,24.54,28.67,32.67,38.48,21.18
OGLETHORPE,5.180,5.370,5.770,9.020,11.30,14.19,17.19,22.12,24.54,36.06,18.46
PAULDING,2.970,2.690,4.590,6.180,8.780,10.80,14.44,18.90,22.31,28.73,12.37
PEACH,1.470,1.390,1.490,3.460,5.260,7.070,10.78,15.34,17.96,23.56,10.71
PICKENS,4.150,3.410,4.090,5.800,9.590,14.56,18.77,22.31,22.80,31.67,18.00
PIERCE,3.570,4.800,4.920,5.980,8.500,8.800,12.21,14.51,19.76,26.22,13.42
PIKE,4.320,4.080,5.640,7.010,10.06,14.92,19.35,22.24,29.62,37.29,17.93
POLK,1.910,1.610,2.160,3.970,5.560,7.960,11.68,14.75,20.55,24.97,11.97
PULASKI,3.260,3.350,4.990,5.670,6.920,9.730,12.45,18.42,18.86,23.48,13.51
PUTNAM,3.130,2.590,4.010,5.280,9.650,12.93,14.22,17.56,24.60,35.45,19.15
QUITMAN,7.450,10.38,11.54,13.98,27.71,34.91,40.94,37.01,40.38,48.73,34.48
RABUN,4.240,3.370,3.310,4.640,7.650,10.72,12.87,17.97,22.77,34.41,19.03
RANDOLPH,5.980,8.990,9.830,16.56,19.17,19.79,23.05,26.39,36.63,42.91,25.66
RICHMOND,1.030,0.770,1.460,2.240,3.000,4.570,5.500,8.000,10.98,18.73,6.720
ROCKDALE,1.620,1.310,1.550,3.690,3.650,6.750,9.320,14.15,17.43,24.44,9.980
SCHLEY,5.280,3.590,4.370,5.120,7.630,13.04,15.06,18.39,18.29,25.95,13.51
SCREVEN,1.900,1.840,2.650,6.000,5.370,7.020,8.100,12.32,14.43,21.26,10.37
SEMINOLE,9.160,8.660,12.50,14.83,23.06,25.37,26.98,26.31,38.93,35.86,25.49
SPALDING,1.990,1.800,2.640,3.660,6.110,8.340,12.03,14.61,19.81,28.70,12.67
STEPHENS,4.190,3.260,3.920,6.460,8.500,11.08,12.30,16.61,22.80,27.46,14.75
STEWART,0.800,4.600,1.360,3.860,2.620,5.740,6.640,9.760,13.46,14.70,8.200
SUMTER,1.850,1.010,2.390,3.670,6.240,6.650,10.50,12.77,15.99,23.29,10.82
TALBOT,1.830,1.990,1.750,2.240,3.260,5.410,8.470,8.390,12.38,22.00,10.16
TALIAFERRO,40.86,33.33,43.84,36.17,40.28,51.72,61.00,62.02,74.14,73.15,58.39
TATTNALL,3.190,2.380,4.830,4.750,7.080,11.00,11.48,14.80,16.51,25.92,12.53
TAYLOR,3.420,3.380,6.990,9.240,6.120,7.910,11.16,12.18,20.84,25.77,13.39
TELFAIR,8.770,5.840,7.570,9.240,12.38,17.73,14.17,16.57,21.69,26.72,16.76
TERRELL,1.990,1.530,3.600,4.080,6.720,6.580,10.85,15.06,19.29,27.98,12.92
THOMAS,2.410,1.740,2.170,2.710,4.800,6.520,8.510,10.58,14.83,20.72,9.730
TIFT,2.910,2.470,3.830,4.780,7.090,10.37,10.67,14.79,18.62,25.10,11.80
TOOMBS,1.500,2.220,3.390,3.760,4.360,6.850,9.230,14.90,17.35,23.76,10.95
TOWNS,1.790,2.120,3.690,4.150,7.050,8.110,11.89,16.37,17.13,25.75,16.15
TREUTLEN,2.550,2.430,5.210,8.310,6.350,9.430,12.08,14.17,15.57,21.12,11.63
TROUP,1.560,1.400,1.780,3.490,3.970,6.650,9.200,13.22,17.22,24.92,10.28
TURNER,2.430,2.430,6.280,5.870,6.740,9.270,14.25,15.29,15.15,24.89,12.57
TWIGGS,6.590,3.560,4.770,8.780,11.41,18.78,18.96,22.78,31.11,36.67,20.49
UNION,4.310,2.690,4.930,6.750,8.430,10.87,15.99,19.42,23.64,29.31,19.73
UPSON,2.400,2.520,3.350,5.350,8.800,10.31,11.94,17.93,19.67,29.80,14.45
WALKER,1.320,1.180,1.360,2.540,3.390,4.460,6.490,8.870,10.70,15.89,7.310
WALTON,3.960,3.190,5.130,7.810,8.820,12.92,16.24,20.90,27.84,33.84,16.18
WARE,2.390,2.310,2.680,4.140,5.080,6.630,10.47,11.94,17.04,23.71,11.27
WARREN,2.560,1.670,0.870,5.220,5.260,10.90,10.49,10.36,15.16,21.63,11.23
WASHINGTON,3.200,2.150,3.170,4.450,5.910,8.920,11.49,11.42,14.22,18.65,10.30
WAYNE,4.000,3.940,6.020,8.040,9.630,12.95,15.06,17.92,22.69,30.59,15.62
WEBSTER,1.890,3.480,4.600,6.860,6.190,14.05,8.390,23.88,14.74,21.91,12.80
WHEELER,7.040,3.790,3.050,6.150,10.96,9.450,12.05,14.34,19.86,23.68,13.78
WHITE,5.740,5.410,8.540,10.25,16.13,17.84,22.52,22.79,28.14,35.31,21.66
WHITFIELD,1.650,1.300,2.090,3.100,4.690,6.410,7.650,10.27,14.56,20.83,8.790
WILCOX,5.660,3.600,4.180,6.960,5.860,13.35,18.10,19.07,22.34,29.70,16.18
WILKES,2.860,2.630,2.510,6.250,8.790,11.89,11.97,14.61,16.75,26.98,14.52
WILKINSON,4.890,8.370,6.710,7.690,8.840,12.36,19.13,21.17,30.03,32.93,18.61
WORTH,3.210,2.510,3.040,5.690,7.890,9.420,11.95,15.02,20.88,29.02,13.84
TOTAL,2.480,1.910,3.030,4.460,6.220,8.670,11.53,14.97,19.08,26.43,11.20
