COUNTY NAME,MALE,FEMALE,UNKNOWN,TOTAL
APPLING,15.85,13.63,0.00,14.66
ATKINSON,16.81,15.67,0.00,16.17
BACON,14.89,10.74,0.00,12.61
BAKER,18.53,13.19,0.00,15.67
BALDWIN,15.88,14.32,0.00,15.00
BANKS,21.42,18.57,0.00,19.97
BARROW,13.40,11.40,5.06,12.33
BARTOW,13.04,10.64,6.56,11.78
BEN HILL,12.11,9.30,25.00,10.54
BERRIEN,16.55,13.22,0.00,14.78
BIBB,13.82,13.75,1.56,13.77
BLECKLEY,20.41,16.71,0.00,18.40
BRANTLEY,10.71,8.45,0.00,9.52
BROOKS,9.47,8.37,0.00,8.88
BRYAN,9.40,7.57,3.12,8.42
BULLOCH,11.33,8.94,0.00,10.03
BURKE,9.93,8.50,0.00,9.15
BUTTS,15.78,14.06,5.88,14.86
CALHOUN,11.41,11.07,0.00,11.18
CAMDEN,9.04,7.85,0.00,8.39
CANDLER,13.60,9.41,0.00,11.32
CARROLL,13.33,11.07,2.74,12.12
CATOOSA,7.81,6.19,1.75,6.93
CHARLTON,9.50,7.68,0.00,8.53
CHATHAM,9.50,10.11,2.17,9.82
CHATTAHOOCHEE,10.05,11.18,0.00,10.64
CHATTOOGA,11.86,8.56,0.00,10.08
CHEROKEE,13.43,11.24,4.83,12.27
CLARKE,8.50,7.91,1.02,8.16
CLAY,20.10,21.66,0.00,20.99
CLAYTON,4.27,5.09,0.71,4.72
CLINCH,8.89,6.69,33.33,7.72
COBB,12.87,11.67,5.01,12.21
COFFEE,10.33,8.13,0.00,9.12
COLQUITT,14.35,12.63,0.00,13.40
COLUMBIA,18.24,15.49,1.71,16.76
COOK,13.23,10.83,0.00,11.93
COWETA,12.81,10.79,3.65,11.72
CRAWFORD,14.73,12.21,0.00,13.41
CRISP,12.31,9.10,0.00,10.48
DADE,10.23,9.49,0.00,9.86
DAWSON,18.29,16.22,12.50,17.22
DECATUR,11.92,9.89,5.56,10.77
DEKALB,7.82,9.07,0.00,8.50
DODGE,18.37,13.48,0.00,15.70
DOOLY,13.84,11.54,0.00,12.56
DOUGHERTY,8.03,8.01,0.79,7.95
DOUGLAS,8.66,7.50,0.77,8.01
EARLY,19.19,21.23,0.00,20.33
ECHOLS,14.22,12.23,0.00,13.17
EFFINGHAM,10.19,8.80,3.70,9.46
ELBERT,15.57,13.88,0.00,14.64
EMANUEL,15.44,12.44,0.00,13.76
EVANS,15.35,12.78,0.00,13.92
FANNIN,20.96,18.11,0.00,19.45
FAYETTE,14.72,13.10,5.07,13.85
FLOYD,12.25,9.65,6.06,10.84
FORSYTH,15.82,14.24,11.55,15.00
FRANKLIN,15.06,12.01,0.00,13.46
FULTON,8.18,8.67,3.55,8.43
GILMER,18.12,15.52,5.56,16.77
GLASCOCK,18.86,17.35,0.00,18.06
GLYNN,14.79,13.13,3.90,13.86
GORDON,13.67,10.65,0.00,12.08
GRADY,12.03,11.14,14.29,11.54
GREENE,19.62,16.29,10.00,17.82
GWINNETT,11.01,10.38,6.02,10.65
HABERSHAM,20.27,18.38,19.05,19.28
HALL,17.62,16.16,4.42,16.84
HANCOCK,8.70,11.55,0.00,10.23
HARALSON,17.43,14.11,6.67,15.68
HARRIS,12.52,10.81,5.26,11.62
HART,12.84,9.57,0.00,11.09
HEARD,16.49,14.68,0.00,15.53
HENRY,14.33,14.32,5.11,14.31
HOUSTON,11.41,10.05,3.09,10.65
IRWIN,14.85,11.84,25.00,13.23
JACKSON,15.59,13.61,17.95,14.56
JASPER,18.40,16.53,0.00,17.42
JEFF DAVIS,12.66,10.11,0.00,11.29
JEFFERSON,11.10,10.85,12.50,10.96
JENKINS,11.44,10.07,0.00,10.70
JOHNSON,20.21,15.49,0.00,17.64
JONES,17.21,15.36,0.00,16.20
LAMAR,16.70,14.28,0.00,15.40
LANIER,13.49,12.78,25.00,13.11
LAURENS,16.34,13.56,0.00,14.79
LEE,11.91,9.11,0.00,10.40
LIBERTY,5.78,4.86,0.00,5.27
LINCOLN,18.14,17.13,0.00,17.60
LONG,7.94,5.50,12.50,6.63
LOWNDES,7.75,6.08,0.00,6.83
LUMPKIN,17.67,15.85,0.00,16.71
MCDUFFIE,13.47,11.96,0.00,12.62
MCINTOSH,13.38,12.72,0.00,13.03
MACON,8.93,9.30,0.00,9.13
MADISON,21.45,16.96,16.00,19.08
MARION,9.96,8.15,0.00,8.99
MERIWETHER,13.37,11.32,16.67,12.26
MILLER,20.09,20.14,0.00,20.11
MITCHELL,12.41,10.54,0.00,11.35
MONROE,21.74,19.16,6.45,20.36
MONTGOMERY,22.91,22.63,0.00,22.74
MORGAN,18.42,16.67,0.00,17.48
MURRAY,10.30,7.13,9.09,8.65
MUSCOGEE,7.42,6.54,0.74,6.92
NEWTON,11.78,10.22,0.00,10.92
OCONEE,22.81,19.72,7.32,21.18
OGLETHORPE,20.08,17.01,0.00,18.46
PAULDING,13.30,11.58,2.25,12.37
PEACH,11.29,10.22,0.00,10.71
PICKENS,19.64,16.51,0.00,18.00
PIERCE,15.39,11.76,0.00,13.42
PIKE,19.33,16.62,33.33,17.93
POLK,13.76,10.43,0.00,11.97
PULASKI,15.91,11.46,0.00,13.51
PUTNAM,20.74,17.77,10.00,19.15
QUITMAN,34.68,34.31,0.00,34.48
RABUN,20.47,17.75,0.00,19.03
RANDOLPH,24.59,26.50,0.00,25.66
RICHMOND,7.24,6.42,0.47,6.72
ROCKDALE,10.31,9.74,0.00,9.98
SCHLEY,15.41,11.93,0.00,13.51
SCREVEN,10.97,9.86,0.00,10.37
SEMINOLE,24.87,26.03,0.00,25.49
SPALDING,13.78,11.75,6.82,12.67
STEPHENS,16.38,13.33,0.00,14.75
STEWART,8.62,7.83,0.00,8.20
SUMTER,11.73,10.13,12.50,10.82
TALBOT,10.40,9.96,0.00,10.16
TALIAFERRO,54.65,62.10,100.0,58.39
TATTNALL,13.96,11.33,9.52,12.53
TAYLOR,14.13,12.80,0.00,13.39
TELFAIR,18.89,14.96,0.00,16.76
TERRELL,13.28,12.62,14.29,12.92
THOMAS,10.75,8.93,3.23,9.73
TIFT,13.27,10.64,2.13,11.80
TOOMBS,12.17,9.96,0.00,10.95
TOWNS,16.90,15.50,16.67,16.15
TREUTLEN,12.75,10.73,0.00,11.63
TROUP,11.48,9.34,0.00,10.28
TURNER,13.60,11.72,0.00,12.57
TWIGGS,20.16,20.83,0.00,20.49
