CONGRESSIONAL DISTRICT,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
District 1,2.82,6.06,1.91,2.2,3.45,13.72,3.78,10.13
District 2,2.51,6.07,1.85,4.56,2.7,16.68,2.89,10.14
District 3,2.92,3.87,2.84,5.36,4.44,16.94,5.84,12.49
District 4,2.25,5.63,1.78,1.9,2.84,17.2,3.34,8.1
District 5,1.91,4.27,1.56,1.39,2.08,8.34,3.06,5.14
District 6,4.89,9.65,5.04,7.11,9.08,19.81,7.49,15.6
District 7,5.66,6.54,2.94,6.17,6.44,17.75,8.43,11.93
District 8,3.76,5.22,2.59,3.85,4.26,17.04,4.25,12.5
District 9,4.14,4.1,1.95,9.76,6.88,19.39,7.98,16.65
District 10,3.51,5.59,2.97,5.66,4.89,19.55,6.96,14.58
District 11,3.2,2.38,2.18,4.82,4.79,15.42,4.98,11.57
District 12,4.88,3.31,2.55,4.34,3.76,17.56,3.35,11.17
District 13,2.62,4.56,1.62,4.73,3.63,17.32,3.58,7.62
District 14,2.72,2.35,1.22,4.64,3.67,12.81,3.76,10.56
TOTAL,4.08,5.02,2.46,4.64,4.69,16.65,5.18,11.21
