COUNTY NAME,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
ATKINSON,0.0,1.19,2.53,0.0,16.67,11.11,0.0,0.0,0.0,0.0,5.63,5.88,0.0,0.0,100.0,0.0,16.94,18.71,0.0,21.5,19.21,17.01
BEN HILL,0.0,6.58,3.87,0.0,16.67,9.09,0.0,0.0,0.0,0.0,1.43,3.92,0.0,7.69,5.26,0.0,16.22,21.41,0.0,15.63,12.54,16.46
BERRIEN,50.0,3.76,7.79,0.0,10.0,8.0,0.0,14.29,0.0,0.0,8.57,1.79,0.0,0.0,0.0,0.0,18.96,24.2,0.0,14.95,11.45,19.65
BIBB,7.14,12.42,9.74,0.0,7.78,7.74,0.0,0.0,13.33,0.0,6.48,12.32,0.0,6.71,7.65,0.0,28.32,30.54,0.0,22.28,18.37,25.12
BLECKLEY,0.0,13.77,8.84,0.0,23.08,8.33,0.0,0.0,0.0,0.0,17.39,0.0,0.0,8.7,9.52,0.0,31.04,34.29,0.0,15.28,9.93,27.51
BROOKS,0.0,11.11,9.38,0.0,4.35,14.81,0.0,0.0,0.0,0.0,6.94,3.17,0.0,15.0,9.09,0.0,21.96,25.24,0.0,13.28,9.09,18.0
COLQUITT,0.0,7.98,6.36,0.0,8.33,6.82,0.0,0.0,0.0,0.0,3.18,3.91,0.0,6.0,5.77,0.0,22.34,27.06,0.0,13.69,10.2,19.7
COOK,0.0,2.33,6.49,0.0,6.9,0.0,0.0,33.33,0.0,0.0,7.04,1.85,0.0,4.17,0.0,0.0,15.93,19.83,0.0,13.96,10.98,15.67
DODGE,0.0,5.56,8.18,0.0,6.67,22.22,0.0,0.0,50.0,0.0,0.0,0.0,0.0,5.56,0.0,0.0,20.73,25.65,0.0,16.82,14.33,20.4
HOUSTON,5.13,6.63,5.77,0.0,7.62,7.32,0.0,8.47,6.52,50.0,5.22,6.53,0.0,4.63,4.74,0.0,14.18,16.82,4.76,17.95,15.94,14.68
IRWIN,0.0,3.92,5.06,0.0,12.5,60.0,0.0,0.0,0.0,0.0,0.0,3.7,0.0,0.0,14.29,50.0,15.25,20.15,0.0,13.82,13.23,16.18
JONES,0.0,4.58,3.33,0.0,8.0,7.69,0.0,0.0,0.0,0.0,7.14,4.76,0.0,4.44,3.57,0.0,19.7,22.14,0.0,26.24,22.24,21.01
LANIER,0.0,17.55,11.88,0.0,13.04,7.69,0.0,0.0,0.0,0.0,7.41,5.56,0.0,0.0,7.14,0.0,19.44,22.78,0.0,23.9,20.6,20.37
LOWNDES,0.0,3.93,4.79,0.0,5.88,7.44,0.0,5.56,8.62,0.0,3.66,4.48,0.0,5.01,6.86,7.14,13.99,17.32,0.0,9.72,8.05,12.31
MONROE,9.52,12.8,13.45,0.0,7.55,14.29,0.0,14.29,0.0,0.0,7.41,7.27,0.0,3.7,2.63,0.0,25.91,28.45,0.0,23.47,16.72,24.49
PULASKI,0.0,6.73,4.3,0.0,10.0,18.18,0.0,0.0,0.0,0.0,10.53,0.0,0.0,0.0,16.67,0.0,15.26,20.63,0.0,11.42,10.38,15.32
TELFAIR,0.0,4.26,3.28,0.0,33.33,0.0,0.0,0.0,0.0,0.0,9.09,0.0,0.0,11.11,0.0,0.0,18.16,20.56,0.0,18.4,13.65,17.66
THOMAS,0.0,6.41,6.4,0.0,5.0,6.45,0.0,0.0,0.0,0.0,7.5,2.35,0.0,4.48,4.23,6.25,13.36,15.77,0.0,14.56,11.05,13.31
TIFT,0.0,5.41,6.14,0.0,9.09,20.69,0.0,0.0,0.0,0.0,5.94,5.71,0.0,3.23,2.11,6.67,21.08,25.85,9.09,11.72,10.09,18.52
TURNER,0.0,13.92,2.97,0.0,0.0,14.29,0.0,0.0,0.0,0.0,4.0,4.35,0.0,0.0,0.0,0.0,23.59,26.87,0.0,12.97,10.1,19.06
TWIGGS,0.0,16.78,10.16,0.0,11.11,0.0,0.0,0.0,0.0,0.0,3.85,0.0,0.0,12.5,0.0,0.0,24.37,25.23,0.0,36.47,25.38,26.58
WILCOX,0.0,6.06,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,6.67,0.0,0.0,0.0,100.0,26.91,29.42,0.0,15.38,14.5,23.54
WILKINSON,0.0,12.5,6.47,0.0,0.0,27.27,0.0,0.0,0.0,0.0,12.5,0.0,0.0,11.11,0.0,0.0,30.99,31.7,0.0,33.17,25.79,29.8
TOTAL,4.0,7.44,6.69,0.0,7.73,8.87,0.0,4.91,6.28,20.0,5.11,5.22,0.0,5.06,5.49,3.6,18.9,22.08,3.57,16.53,13.64,17.7
