,ASIA-PI FEMALE,ASIA-PI MALE,ASIA-PI UNKNOWN,BLACK FEMALE,BLACK MALE,BLACK UNKNOWN,CONGRESSIONAL DISTRICT,COUNTY NAME,HISP-LT FEMALE,HISP-LT MALE,HISP-LT UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,NATIVE-AM UNKNOWN,OTHER FEMALE,OTHER MALE,OTHER UNKNOWN,TOTAL,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,WHITE FEMALE,WHITE MALE,WHITE UNKNOWN
10,26.0,18.0,0.0,3295.0,2210.0,5.0,,MITCHELL,52.0,56.0,0.0,4.0,1.0,0.0,16.0,12.0,0.0,12803.0,4.0,388.0,414.0,3382.0,2915.0,5.0
10,54.0,39.0,0.0,2138.0,1634.0,3.0,,MONROE,53.0,55.0,0.0,7.0,4.0,0.0,53.0,55.0,0.0,18835.0,21.0,576.0,692.0,6994.0,6450.0,7.0
10,8.0,3.0,0.0,661.0,505.0,1.0,,MONTGOMERY,40.0,31.0,0.0,1.0,2.0,0.0,8.0,5.0,0.0,5260.0,1.0,119.0,133.0,1987.0,1752.0,3.0
10,32.0,25.0,0.0,1518.0,1097.0,2.0,,MORGAN,62.0,48.0,0.0,4.0,4.0,1.0,21.0,18.0,0.0,13106.0,0.0,266.0,297.0,5060.0,4646.0,5.0
10,19.0,15.0,0.0,42.0,55.0,0.0,,MURRAY,438.0,424.0,0.0,8.0,6.0,0.0,54.0,40.0,0.0,19908.0,4.0,829.0,943.0,8960.0,8064.0,7.0
10,1031.0,790.0,4.0,34197.0,23993.0,28.0,,MUSCOGEE,1750.0,1482.0,3.0,85.0,67.0,1.0,1029.0,731.0,5.0,124948.0,56.0,4288.0,4101.0,28137.0,23132.0,38.0
10,179.0,170.0,0.0,18441.0,12557.0,0.0,,NEWTON,646.0,503.0,0.0,37.0,37.0,0.0,323.0,207.0,0.0,71740.0,1.0,3016.0,3402.0,17097.0,15124.0,0.0
10,279.0,257.0,0.0,615.0,460.0,1.0,,OCONEE,224.0,205.0,3.0,9.0,6.0,0.0,95.0,113.0,0.0,28212.0,24.0,1307.0,1362.0,12145.0,11094.0,13.0
10,13.0,10.0,0.0,740.0,565.0,0.0,,OGLETHORPE,54.0,47.0,0.0,3.0,7.0,0.0,26.0,21.0,0.0,9481.0,4.0,370.0,439.0,3749.0,3429.0,4.0
10,385.0,264.0,0.0,10478.0,7855.0,15.0,,PAULDING,1489.0,1221.0,2.0,66.0,53.0,0.0,554.0,423.0,1.0,104239.0,32.0,4459.0,4500.0,37950.0,34453.0,39.0
10,43.0,33.0,0.0,4181.0,3234.0,3.0,,PEACH,225.0,173.0,0.0,8.0,10.0,0.0,50.0,48.0,0.0,17252.0,8.0,435.0,459.0,4315.0,4025.0,2.0
10,44.0,33.0,0.0,86.0,81.0,0.0,,PICKENS,126.0,72.0,0.0,12.0,13.0,0.0,41.0,26.0,0.0,21407.0,0.0,680.0,829.0,10177.0,9187.0,0.0
10,20.0,15.0,1.0,516.0,378.0,2.0,,PIERCE,43.0,28.0,0.0,4.0,6.0,1.0,24.0,19.0,0.0,11356.0,3.0,484.0,554.0,5015.0,4237.0,6.0
10,23.0,9.0,0.0,574.0,507.0,0.0,,PIKE,29.0,28.0,0.0,3.0,5.0,0.0,33.0,22.0,0.0,12384.0,3.0,430.0,538.0,5297.0,4883.0,0.0
10,37.0,20.0,0.0,1415.0,940.0,3.0,,POLK,225.0,233.0,1.0,6.0,4.0,0.0,49.0,59.0,1.0,21687.0,4.0,683.0,710.0,9172.0,8118.0,7.0
10,14.0,12.0,0.0,913.0,640.0,0.0,,PULASKI,20.0,22.0,0.0,2.0,1.0,0.0,10.0,11.0,0.0,5573.0,0.0,105.0,96.0,1938.0,1789.0,0.0
10,38.0,26.0,0.0,1769.0,1246.0,1.0,,PUTNAM,84.0,68.0,0.0,0.0,7.0,0.0,17.0,28.0,0.0,13820.0,3.0,372.0,384.0,5104.0,4667.0,6.0
10,2.0,2.0,0.0,404.0,277.0,0.0,,QUITMAN,5.0,2.0,0.0,3.0,2.0,0.0,4.0,1.0,0.0,1546.0,0.0,25.0,41.0,411.0,367.0,0.0
10,18.0,21.0,0.0,31.0,26.0,0.0,,RABUN,71.0,83.0,1.0,6.0,5.0,0.0,21.0,22.0,0.0,11703.0,2.0,359.0,398.0,5607.0,5023.0,9.0
10,5.0,3.0,0.0,1415.0,935.0,2.0,,RANDOLPH,2.0,4.0,0.0,1.0,1.0,0.0,7.0,2.0,0.0,4213.0,0.0,63.0,62.0,892.0,819.0,0.0
10,676.0,454.0,10.0,38581.0,26087.0,396.0,,RICHMOND,970.0,730.0,10.0,66.0,49.0,1.0,899.0,590.0,19.0,128971.0,554.0,8219.0,8569.0,22809.0,19208.0,74.0
10,373.0,294.0,1.0,17879.0,13334.0,16.0,,ROCKDALE,762.0,640.0,1.0,30.0,30.0,0.0,524.0,361.0,1.0,61405.0,19.0,3441.0,3276.0,10751.0,9661.0,11.0
10,11.0,5.0,0.0,312.0,211.0,0.0,,SCHLEY,14.0,14.0,0.0,0.0,1.0,0.0,3.0,5.0,0.0,2664.0,0.0,41.0,26.0,1061.0,958.0,2.0
10,16.0,9.0,0.0,1922.0,1431.0,1.0,,SCREVEN,14.0,8.0,0.0,5.0,1.0,0.0,7.0,11.0,0.0,8817.0,0.0,268.0,322.0,2516.0,2283.0,3.0
10,5.0,5.0,0.0,1034.0,727.0,0.0,,SEMINOLE,27.0,19.0,0.0,4.0,1.0,0.0,10.0,10.0,0.0,5688.0,0.0,112.0,102.0,1901.0,1729.0,2.0
10,133.0,84.0,0.0,7836.0,5531.0,8.0,,SPALDING,322.0,248.0,0.0,21.0,17.0,1.0,157.0,123.0,1.0,43339.0,24.0,1424.0,1648.0,13595.0,12156.0,10.0
10,42.0,49.0,0.0,877.0,700.0,0.0,,STEPHENS,54.0,50.0,0.0,7.0,4.0,0.0,45.0,33.0,0.0,16309.0,8.0,500.0,580.0,7094.0,6257.0,9.0
10,6.0,2.0,0.0,986.0,781.0,1.0,,STEWART,9.0,7.0,0.0,0.0,2.0,0.0,5.0,3.0,0.0,3038.0,0.0,43.0,46.0,561.0,586.0,0.0
10,49.0,45.0,0.0,5000.0,3241.0,5.0,,SUMTER,102.0,74.0,0.0,3.0,2.0,0.0,47.0,39.0,0.0,17030.0,2.0,267.0,283.0,4223.0,3647.0,1.0
10,2.0,3.0,0.0,1415.0,1048.0,0.0,,TALBOT,10.0,8.0,0.0,3.0,0.0,0.0,12.0,8.0,0.0,4478.0,0.0,77.0,100.0,920.0,872.0,0.0
10,1.0,0.0,0.0,349.0,355.0,0.0,,TALIAFERRO,1.0,5.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,1245.0,1.0,13.0,27.0,254.0,234.0,0.0
10,23.0,13.0,0.0,1242.0,918.0,5.0,,TATTNALL,169.0,129.0,1.0,3.0,4.0,0.0,31.0,28.0,0.0,11294.0,7.0,491.0,552.0,4149.0,3521.0,8.0
10,7.0,5.0,0.0,1031.0,712.0,3.0,,TAYLOR,19.0,6.0,0.0,1.0,1.0,0.0,5.0,5.0,0.0,4913.0,1.0,136.0,166.0,1480.0,1335.0,0.0
10,9.0,10.0,0.0,1076.0,757.0,1.0,,TELFAIR,11.0,13.0,0.0,2.0,1.0,0.0,9.0,6.0,0.0,5698.0,2.0,95.0,117.0,1867.0,1722.0,0.0
10,6.0,11.0,0.0,2161.0,1578.0,5.0,,TERRELL,16.0,11.0,0.0,2.0,2.0,0.0,11.0,15.0,0.0,6563.0,2.0,173.0,173.0,1220.0,1177.0,0.0
10,66.0,71.0,0.0,5551.0,3683.0,8.0,,THOMAS,121.0,85.0,0.0,14.0,8.0,0.0,79.0,62.0,0.0,29298.0,7.0,1057.0,1028.0,9399.0,8043.0,16.0
10,93.0,95.0,0.0,3799.0,2565.0,11.0,,TIFT,321.0,331.0,1.0,3.0,5.0,0.0,66.0,58.0,0.0,23036.0,20.0,389.0,436.0,7964.0,6864.0,15.0
10,31.0,32.0,0.0,2072.0,1414.0,3.0,,TOOMBS,188.0,144.0,0.0,0.0,2.0,0.0,55.0,38.0,0.0,15173.0,5.0,633.0,693.0,5311.0,4545.0,7.0
10,17.0,14.0,0.0,30.0,26.0,0.0,,TOWNS,37.0,19.0,0.0,3.0,4.0,0.0,10.0,13.0,0.0,9471.0,1.0,224.0,240.0,4711.0,4117.0,5.0
10,4.0,4.0,0.0,774.0,501.0,0.0,,TREUTLEN,9.0,9.0,0.0,3.0,1.0,0.0,4.0,1.0,0.0,4161.0,1.0,74.0,72.0,1416.0,1287.0,1.0
10,143.0,128.0,1.0,8007.0,5372.0,5.0,,TROUP,182.0,162.0,1.0,14.0,8.0,1.0,139.0,112.0,4.0,41160.0,29.0,1091.0,1233.0,13199.0,11315.0,14.0
10,11.0,10.0,0.0,1188.0,844.0,1.0,,TURNER,25.0,23.0,0.0,1.0,5.0,0.0,11.0,7.0,0.0,5356.0,3.0,77.0,98.0,1604.0,1446.0,2.0
10,8.0,3.0,0.0,1353.0,1188.0,1.0,,TWIGGS,26.0,16.0,0.0,1.0,2.0,0.0,18.0,9.0,0.0,6037.0,4.0,148.0,182.0,1590.0,1487.0,1.0
10,36.0,11.0,0.0,16.0,14.0,0.0,,UNION,68.0,37.0,0.0,8.0,6.0,0.0,25.0,28.0,0.0,16917.0,4.0,571.0,601.0,8259.0,7220.0,13.0
10,33.0,27.0,0.0,2554.0,1710.0,5.0,,UPSON,28.0,29.0,0.0,4.0,4.0,0.0,33.0,25.0,0.0,16203.0,3.0,548.0,676.0,5725.0,4792.0,7.0
10,57.0,49.0,0.0,720.0,536.0,0.0,,WALKER,94.0,80.0,0.0,11.0,11.0,0.0,108.0,66.0,0.0,40386.0,8.0,2863.0,3031.0,17699.0,15040.0,13.0
10,210.0,186.0,1.0,4957.0,3488.0,4.0,,WALTON,405.0,333.0,0.0,17.0,19.0,0.0,241.0,194.0,2.0,62155.0,21.0,4985.0,4980.0,22369.0,19727.0,16.0
10,59.0,42.0,0.0,3143.0,1938.0,2.0,,WARE,81.0,73.0,0.0,6.0,13.0,1.0,57.0,29.0,0.0,19748.0,8.0,617.0,788.0,7009.0,5874.0,8.0
10,6.0,3.0,0.0,1139.0,829.0,2.0,,WARREN,5.0,4.0,0.0,1.0,4.0,0.0,7.0,10.0,0.0,3561.0,0.0,66.0,110.0,713.0,662.0,0.0
10,8.0,16.0,0.0,3623.0,2344.0,0.0,,WASHINGTON,22.0,15.0,0.0,1.0,3.0,0.0,19.0,14.0,0.0,12207.0,1.0,219.0,269.0,3018.0,2634.0,1.0
10,35.0,30.0,0.0,1571.0,997.0,1.0,,WAYNE,109.0,71.0,1.0,4.0,6.0,0.0,41.0,37.0,0.0,16555.0,1.0,738.0,775.0,6548.0,5587.0,3.0
10,0.0,0.0,0.0,374.0,290.0,0.0,,WEBSTER,2.0,3.0,1.0,0.0,1.0,0.0,4.0,6.0,0.0,1539.0,0.0,21.0,14.0,425.0,398.0,0.0
10,1.0,0.0,0.0,422.0,344.0,0.0,,WHEELER,13.0,7.0,0.0,0.0,1.0,0.0,7.0,3.0,0.0,2961.0,0.0,50.0,54.0,1064.0,994.0,1.0
10,30.0,30.0,0.0,104.0,105.0,0.0,,WHITE,75.0,67.0,1.0,12.0,8.0,0.0,24.0,28.0,0.0,18391.0,1.0,624.0,662.0,8726.0,7891.0,3.0
10,202.0,171.0,0.0,1043.0,868.0,1.0,,WHITFIELD,2933.0,2845.0,7.0,21.0,21.0,0.0,194.0,159.0,1.0,47940.0,17.0,2609.0,2764.0,18263.0,15797.0,24.0
10,6.0,7.0,0.0,742.0,532.0,0.0,,WILCOX,20.0,15.0,0.0,2.0,2.0,0.0,7.0,4.0,0.0,4383.0,1.0,33.0,49.0,1550.0,1412.0,1.0
10,10.0,7.0,0.0,1510.0,1004.0,1.0,,WILKES,14.0,9.0,0.0,3.0,2.0,0.0,17.0,11.0,0.0,6576.0,0.0,128.0,179.0,1907.0,1773.0,1.0
10,9.0,5.0,0.0,1437.0,1063.0,1.0,,WILKINSON,8.0,2.0,0.0,1.0,1.0,0.0,9.0,11.0,0.0,6121.0,1.0,88.0,131.0,1759.0,1595.0,0.0
10,17.0,9.0,0.0,1883.0,1377.0,1.0,,WORTH,34.0,30.0,0.0,2.0,3.0,0.0,36.0,33.0,0.0,13085.0,3.0,255.0,340.0,4735.0,4323.0,4.0
