,ASIA-PI FEMALE,ASIA-PI MALE,ASIA-PI UNKNOWN,BLACK FEMALE,BLACK MALE,BLACK UNKNOWN,CONGRESSIONAL DISTRICT,COUNTY NAME,HISP-LT FEMALE,HISP-LT MALE,HISP-LT UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,NATIVE-AM UNKNOWN,OTHER FEMALE,OTHER MALE,OTHER UNKNOWN,TOTAL,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,WHITE FEMALE,WHITE MALE,WHITE UNKNOWN
10,38.0,39.0,0.0,3034.0,1956.0,4.0,,CRISP,42.0,33.0,0.0,0.0,5.0,0.0,18.0,25.0,0.0,12153.0,4.0,188.0,214.0,3551.0,3001.0,1.0
10,20.0,20.0,0.0,25.0,28.0,0.0,,DADE,30.0,28.0,1.0,4.0,10.0,0.0,16.0,18.0,2.0,11038.0,0.0,616.0,711.0,4726.0,4778.0,5.0
10,50.0,37.0,0.0,32.0,45.0,0.0,,DAWSON,103.0,89.0,0.0,5.0,14.0,0.0,27.0,44.0,0.0,18290.0,12.0,833.0,937.0,8379.0,7679.0,4.0
10,30.0,18.0,0.0,3683.0,2367.0,3.0,,DECATUR,117.0,93.0,0.0,8.0,2.0,0.0,40.0,35.0,0.0,16174.0,10.0,280.0,374.0,4944.0,4165.0,5.0
10,7094.0,6298.0,4.0,155751.0,117133.0,28.0,,DEKALB,6012.0,5035.0,4.0,318.0,289.0,0.0,5127.0,3903.0,4.0,521775.0,137.0,23785.0,24278.0,88129.0,78441.0,5.0
10,18.0,12.0,0.0,1628.0,1054.0,1.0,,DODGE,29.0,25.0,0.0,2.0,2.0,0.0,15.0,9.0,0.0,10625.0,1.0,197.0,213.0,3896.0,3519.0,4.0
10,12.0,16.0,0.0,1667.0,1168.0,1.0,,DOOLY,47.0,36.0,0.0,2.0,0.0,0.0,10.0,8.0,0.0,5884.0,1.0,96.0,103.0,1432.0,1285.0,0.0
10,132.0,124.0,1.0,23110.0,16109.0,442.0,,DOUGHERTY,222.0,178.0,5.0,26.0,17.0,0.0,183.0,156.0,7.0,62077.0,150.0,2085.0,2377.0,9040.0,7687.0,26.0
10,468.0,391.0,1.0,23616.0,16945.0,37.0,,DOUGLAS,1505.0,1214.0,3.0,56.0,52.0,0.0,747.0,504.0,4.0,94148.0,62.0,4667.0,4424.0,20907.0,18522.0,23.0
10,10.0,7.0,0.0,2140.0,1394.0,3.0,,EARLY,13.0,9.0,0.0,1.0,1.0,0.0,10.0,6.0,1.0,7309.0,0.0,86.0,105.0,1867.0,1656.0,0.0
10,1.0,3.0,0.0,57.0,40.0,0.0,,ECHOLS,69.0,54.0,0.0,2.0,2.0,0.0,9.0,7.0,0.0,1959.0,0.0,45.0,69.0,847.0,753.0,1.0
10,119.0,83.0,2.0,2615.0,1986.0,2.0,,EFFINGHAM,286.0,242.0,1.0,23.0,25.0,0.0,114.0,89.0,2.0,39453.0,15.0,2405.0,2556.0,15021.0,13835.0,32.0
10,25.0,22.0,0.0,1861.0,1290.0,1.0,,ELBERT,55.0,54.0,0.0,4.0,0.0,0.0,18.0,17.0,0.0,11670.0,3.0,231.0,270.0,4174.0,3645.0,0.0
10,21.0,16.0,0.0,2374.0,1472.0,2.0,,EMANUEL,43.0,39.0,0.0,5.0,3.0,0.0,23.0,16.0,0.0,12569.0,2.0,446.0,478.0,4100.0,3526.0,3.0
10,12.0,11.0,0.0,920.0,590.0,1.0,,EVANS,46.0,45.0,0.0,3.0,2.0,0.0,14.0,11.0,0.0,5652.0,1.0,246.0,242.0,1874.0,1634.0,0.0
10,26.0,12.0,0.0,20.0,13.0,0.0,,FANNIN,48.0,51.0,0.0,13.0,13.0,0.0,30.0,31.0,0.0,17725.0,7.0,487.0,506.0,8695.0,7771.0,2.0
10,957.0,777.0,3.0,10006.0,8002.0,22.0,,FAYETTE,1046.0,885.0,6.0,42.0,35.0,0.0,563.0,467.0,1.0,85814.0,56.0,5366.0,5138.0,27434.0,24958.0,50.0
10,226.0,186.0,2.0,4147.0,2717.0,3.0,,FLOYD,600.0,502.0,1.0,19.0,21.0,0.0,120.0,95.0,2.0,55299.0,11.0,2589.0,2869.0,22144.0,19031.0,14.0
10,3775.0,3531.0,19.0,2138.0,1737.0,2.0,,FORSYTH,2119.0,1887.0,4.0,118.0,97.0,1.0,856.0,784.0,6.0,145682.0,156.0,16105.0,16200.0,50329.0,45703.0,115.0
10,30.0,32.0,0.0,531.0,379.0,0.0,,FRANKLIN,44.0,48.0,1.0,1.0,3.0,0.0,25.0,14.0,0.0,13264.0,3.0,363.0,422.0,5957.0,5410.0,1.0
10,10771.0,10079.0,75.0,172289.0,135999.0,340.0,,FULTON,8404.0,7232.0,44.0,376.0,350.0,4.0,6847.0,5745.0,43.0,752169.0,1041.0,51454.0,50228.0,148425.0,142085.0,338.0
10,26.0,24.0,1.0,22.0,33.0,0.0,,GILMER,176.0,164.0,0.0,10.0,7.0,0.0,33.0,46.0,1.0,19321.0,4.0,591.0,659.0,9096.0,8416.0,12.0
10,1.0,0.0,0.0,67.0,58.0,0.0,,GLASCOCK,0.0,3.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,1899.0,0.0,37.0,47.0,896.0,785.0,0.0
10,242.0,190.0,1.0,7272.0,4797.0,12.0,,GLYNN,467.0,399.0,3.0,24.0,26.0,0.0,262.0,180.0,0.0,58042.0,31.0,2994.0,2836.0,20812.0,17464.0,30.0
10,102.0,85.0,0.0,636.0,554.0,0.0,,GORDON,796.0,651.0,0.0,22.0,25.0,0.0,59.0,62.0,0.0,30684.0,5.0,561.0,712.0,13971.0,12439.0,4.0
10,22.0,26.0,0.0,2354.0,1576.0,5.0,,GRADY,97.0,100.0,0.0,5.0,6.0,0.0,54.0,31.0,0.0,14278.0,1.0,388.0,434.0,4951.0,4227.0,1.0
10,37.0,28.0,0.0,2123.0,1448.0,1.0,,GREENE,57.0,59.0,0.0,1.0,1.0,0.0,23.0,24.0,0.0,12510.0,8.0,411.0,420.0,4089.0,3779.0,1.0
10,20202.0,19641.0,141.0,84027.0,62630.0,342.0,,GWINNETT,21678.0,17990.0,131.0,514.0,446.0,5.0,7600.0,6229.0,80.0,539678.0,1108.0,30634.0,30059.0,123323.0,112611.0,287.0
10,146.0,139.0,0.0,272.0,218.0,0.0,,HABERSHAM,317.0,368.0,0.0,12.0,4.0,0.0,52.0,58.0,0.0,25100.0,10.0,946.0,1095.0,11364.0,10088.0,11.0
