CONGRESSIONAL DISTRICT,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
Congressional District 1,9.0,1230.0,1175.0,0.0,142.0,102.0,1.0,14.0,12.0,0.0,153.0,176.0,1.0,120.0,111.0,5.0,28186.0,26561.0,3.0,11930.0,6970.0,76901.0
Congressional District 2,4.0,756.0,680.0,0.0,104.0,95.0,0.0,9.0,15.0,0.0,127.0,111.0,0.0,102.0,58.0,3.0,24494.0,22362.0,4.0,29674.0,15912.0,94510.0
Congressional District 3,3.0,1610.0,1487.0,0.0,149.0,119.0,0.0,6.0,8.0,0.0,149.0,134.0,1.0,103.0,70.0,11.0,32833.0,30503.0,2.0,6793.0,3906.0,77887.0
Congressional District 4,11.0,1453.0,1084.0,0.0,269.0,182.0,0.0,8.0,14.0,1.0,225.0,182.0,0.0,173.0,144.0,1.0,11682.0,10239.0,5.0,25481.0,13738.0,64892.0
Congressional District 5,8.0,2264.0,1701.0,0.0,250.0,179.0,0.0,5.0,6.0,0.0,183.0,161.0,1.0,160.0,134.0,4.0,8777.0,8590.0,7.0,22697.0,11770.0,56897.0
Congressional District 6,11.0,1189.0,1170.0,0.0,220.0,234.0,0.0,7.0,7.0,0.0,252.0,229.0,0.0,309.0,357.0,8.0,22206.0,21846.0,0.0,2419.0,1370.0,51834.0
Congressional District 7,36.0,1280.0,1183.0,0.0,169.0,136.0,0.0,7.0,7.0,4.0,279.0,231.0,0.0,185.0,205.0,11.0,13629.0,13601.0,8.0,2389.0,1385.0,34745.0
Congressional District 8,6.0,703.0,677.0,0.0,77.0,90.0,0.0,8.0,7.0,1.0,97.0,97.0,0.0,107.0,70.0,3.0,30276.0,28979.0,0.0,9933.0,5728.0,76859.0
Congressional District 9,14.0,1456.0,1527.0,0.0,81.0,101.0,0.0,18.0,15.0,0.0,152.0,149.0,0.0,104.0,65.0,10.0,46113.0,44491.0,1.0,1277.0,817.0,96391.0
Congressional District 10,13.0,1718.0,1579.0,0.0,133.0,111.0,0.0,10.0,9.0,0.0,148.0,138.0,0.0,110.0,73.0,8.0,35277.0,33182.0,3.0,12166.0,6894.0,91572.0
Congressional District 11,3.0,1075.0,1125.0,1.0,162.0,172.0,0.0,12.0,20.0,0.0,225.0,208.0,0.0,129.0,125.0,10.0,26565.0,26553.0,3.0,2593.0,1479.0,60460.0
Congressional District 12,10.0,1473.0,1246.0,0.0,142.0,113.0,0.0,9.0,12.0,0.0,163.0,154.0,0.0,174.0,118.0,12.0,34203.0,32012.0,9.0,16803.0,9912.0,96565.0
Congressional District 13,8.0,1753.0,1188.0,0.0,285.0,173.0,0.0,8.0,8.0,0.0,207.0,129.0,0.0,115.0,91.0,1.0,11958.0,11047.0,7.0,22199.0,12062.0,61239.0
Congressional District 14,6.0,1193.0,1198.0,0.0,47.0,57.0,0.0,4.0,7.0,0.0,300.0,229.0,0.0,63.0,50.0,10.0,32419.0,31156.0,2.0,1347.0,797.0,68885.0
TOTAL,142.0,19153.0,17020.0,1.0,2230.0,1864.0,1.0,125.0,147.0,6.0,2660.0,2328.0,3.0,1954.0,1671.0,97.0,358618.0,341122.0,54.0,167701.0,92740.0,1009637.0
