COUNTY NAME,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
APPLING,0.00,21.93,15.27,0.00,19.23,4.000,0.00,0.00,0.00,0.00,12.20,18.57,0.00,13.64,4.760,0.00,49.83,52.28,0.00,26.22,20.02,43.99
ATKINSON,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.090,5.010,0.00,5.330,4.530,4.320
BACON,0.00,28.47,25.36,0.00,0.00,12.50,0.00,0.00,33.33,0.00,10.00,20.83,0.00,0.00,25.00,0.00,46.17,49.71,0.00,24.59,17.72,42.60
BAKER,0.00,40.00,28.57,0.00,40.00,33.33,0.00,0.00,0.00,0.00,11.11,100.0,0.00,20.00,25.00,0.00,59.26,65.47,0.00,53.82,46.06,56.08
BALDWIN,0.00,13.33,10.29,0.00,6.060,9.800,0.00,0.00,0.00,0.00,7.870,10.17,0.00,10.20,8.750,0.00,27.92,29.08,0.00,25.97,20.24,25.65
BANKS,0.00,17.09,9.880,0.00,15.38,26.32,0.00,0.00,100.0,0.00,5.000,5.060,0.00,2.700,7.690,0.00,32.42,34.73,0.00,10.23,13.21,31.53
BARROW,7.140,6.310,4.890,0.00,4.230,2.780,0.00,0.00,0.00,0.00,2.300,2.590,0.00,3.330,1.740,6.900,15.08,15.48,0.00,7.560,6.640,12.89
BARTOW,6.670,7.090,6.770,0.00,5.350,5.430,0.00,4.350,14.29,0.00,3.950,2.950,0.00,3.210,7.140,15.38,18.36,21.06,0.00,6.110,5.960,16.63
BEN HILL,0.00,12.12,8.330,0.00,13.33,18.18,0.00,0.00,0.00,0.00,4.550,2.000,0.00,21.05,0.00,0.00,23.67,28.02,0.00,18.82,15.26,22.07
BERRIEN,0.00,8.740,8.590,0.00,12.50,11.54,0.00,14.29,0.00,0.00,11.67,4.650,0.00,18.18,0.00,0.00,23.14,26.09,0.00,17.48,15.02,22.83
BIBB,12.50,9.830,10.09,0.00,7.840,8.250,0.00,3.330,14.29,0.00,7.870,9.920,0.00,8.460,5.600,0.00,31.90,32.66,0.00,23.36,18.53,25.32
BLECKLEY,0.00,27.00,24.71,0.00,23.08,42.86,0.00,0.00,0.00,0.00,15.00,10.00,0.00,28.57,20.00,0.00,47.43,50.12,0.00,19.22,14.15,41.52
BRANTLEY,0.00,9.940,12.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.170,12.50,0.00,14.29,50.00,0.00,36.06,38.34,0.00,23.49,21.93,35.46
BROOKS,0.00,14.23,8.550,0.00,3.450,6.670,0.00,0.00,16.67,0.00,1.720,0.00,0.00,26.67,11.11,0.00,19.37,20.28,0.00,21.37,14.01,18.51
BRYAN,0.00,8.790,8.000,0.00,8.390,3.120,0.00,8.330,6.670,0.00,4.790,9.700,0.00,3.800,9.260,0.00,19.42,19.35,0.00,9.500,9.590,16.51
BULLOCH,0.00,12.44,11.45,0.00,3.750,7.750,0.00,0.00,0.00,0.00,6.700,7.190,0.00,8.940,3.360,12.50,31.53,30.42,0.00,11.73,9.800,23.85
BURKE,0.00,11.74,7.580,0.00,6.250,12.50,0.00,0.00,0.00,0.00,8.570,0.00,0.00,8.330,7.140,0.00,28.71,29.35,100.0,33.76,25.76,28.58
BUTTS,100.0,25.50,17.79,0.00,17.07,12.00,0.00,0.00,25.00,0.00,16.33,12.77,0.00,22.73,9.090,50.00,33.42,34.44,0.00,23.48,16.29,29.55
CALHOUN,0.00,9.090,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,10.00,0.00,44.44,50.00,0.00,43.04,46.00,0.00,36.93,32.24,38.32
CAMDEN,0.00,4.450,5.450,0.00,4.080,4.120,0.00,6.670,0.00,0.00,1.910,1.890,0.00,6.280,10.78,0.00,10.82,12.75,0.00,12.85,10.79,10.38
CANDLER,0.00,7.430,11.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.170,4.760,0.00,9.090,22.22,0.00,30.34,29.84,0.00,14.13,10.75,24.20
CARROLL,0.00,5.810,6.220,0.00,4.780,3.590,0.00,5.000,0.00,0.00,2.170,3.520,0.00,2.860,4.260,0.00,16.29,18.05,0.00,5.590,4.470,13.71
CATOOSA,33.33,5.590,5.790,0.00,3.480,4.810,0.00,0.00,0.00,0.00,3.510,1.600,0.00,4.580,6.190,7.690,13.73,16.46,0.00,5.300,6.220,13.67
CHARLTON,0.00,19.78,16.77,0.00,23.81,33.33,0.00,0.00,0.00,0.00,0.00,20.00,0.00,28.57,43.75,0.00,33.50,35.01,0.00,24.23,22.18,30.22
CHATHAM,4.390,4.370,3.720,0.00,4.520,4.370,0.00,8.060,2.630,0.00,1.620,2.100,0.00,3.850,3.020,10.53,11.50,12.92,11.76,18.03,13.71,12.77
CHATTAHOOCHEE,0.00,10.95,6.980,0.00,5.880,0.00,0.00,25.00,0.00,0.00,0.00,0.890,0.00,2.780,0.00,0.00,23.17,23.90,0.00,26.79,19.53,20.51
CHATTOOGA,0.00,8.280,8.780,0.00,12.50,3.850,0.00,0.00,0.00,0.00,0.00,3.570,0.00,21.05,5.880,0.00,20.23,24.25,0.00,16.17,15.92,20.45
CHEROKEE,7.690,7.450,8.810,50.00,5.330,9.160,0.00,11.76,13.21,0.00,4.010,4.640,0.00,5.280,5.150,16.00,16.36,18.08,0.00,6.000,5.320,15.26
CLARKE,3.510,3.230,3.650,0.00,2.830,3.680,0.00,0.00,6.250,0.00,1.570,1.650,0.00,3.080,2.620,2.560,9.050,9.380,0.00,6.370,4.800,7.300
CLAY,0.00,27.27,20.00,0.00,66.67,0.00,0.00,0.00,0.00,0.00,50.00,0.00,0.00,50.00,0.00,0.00,46.42,43.12,0.00,34.35,30.83,37.81
CLAYTON,5.450,9.180,4.910,0.00,6.970,5.330,0.00,9.090,7.140,0.00,3.740,3.050,0.00,3.010,3.620,0.00,19.55,19.87,1.960,15.97,11.48,13.59
CLINCH,0.00,24.21,19.08,0.00,16.67,33.33,0.00,0.00,0.00,0.00,12.50,14.29,0.00,0.00,33.33,0.00,40.17,42.56,0.00,23.77,20.88,34.60
COBB,1.980,3.370,2.800,0.00,4.720,6.050,0.00,3.560,6.610,0.00,2.600,2.840,0.00,2.570,3.300,4.660,13.10,14.60,5.170,7.770,6.020,10.55
COFFEE,16.67,13.16,12.27,0.00,7.270,5.260,0.00,20.00,0.00,0.00,6.250,4.910,0.00,10.00,10.64,0.00,28.48,28.93,0.00,19.12,15.05,24.59
COLQUITT,9.090,9.900,10.10,0.00,12.86,10.20,0.00,0.00,0.00,0.00,3.500,3.760,0.00,4.550,2.330,0.00,26.85,30.75,0.00,6.980,5.740,21.62
COLUMBIA,5.410,6.790,6.700,0.00,4.770,7.500,0.00,10.00,7.690,0.00,4.320,7.460,0.00,7.690,6.170,5.560,17.24,20.39,0.00,12.68,11.84,15.95
COOK,0.00,9.240,10.92,0.00,3.570,4.760,0.00,0.00,0.00,0.00,1.640,2.330,0.00,15.79,22.22,0.00,25.94,29.59,0.00,17.80,16.86,23.88
COWETA,0.00,7.390,6.750,0.00,5.710,6.750,0.00,0.00,7.690,0.00,1.590,1.880,0.00,3.440,1.660,6.980,14.63,15.51,15.38,9.990,6.760,12.92
CRAWFORD,0.00,12.17,6.900,0.00,7.690,17.65,0.00,0.00,0.00,0.00,0.00,5.560,0.00,12.50,16.67,0.00,22.35,23.06,0.00,41.10,29.37,24.88
CRISP,0.00,12.61,13.04,0.00,6.670,8.330,0.00,0.00,0.00,0.00,17.95,12.90,0.00,5.130,6.450,0.00,35.15,37.56,0.00,14.45,11.25,25.69
DADE,0.00,14.25,11.21,0.00,7.140,15.38,0.00,0.00,50.00,0.00,6.670,0.00,0.00,16.67,18.75,0.00,22.51,24.72,0.00,3.120,7.140,22.41
