CONGRESSIONAL DISTRICT,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
District 1,6.02,15.31,4.06,8.28,5.75,20.20,6.84,17.23
District 2,5.99,21.63,4.93,11.54,7.08,26.23,9.43,22.76
District 3,4.26,10.46,3.87,7.37,6.42,20.03,8.30,16.52
District 4,3.39,14.19,4.47,4.97,5.79,16.65,6.30,13.66
District 5,3.54,12.14,4.25,3.83,5.63,11.37,6.19,10.83
District 6,3.14,6.26,3.62,3.92,4.83,13.41,4.33,10.62
District 7,1.39,4.42,2.06,2.28,3.13,11.30,4.52,7.81
District 8,5.13,13.25,3.56,6.33,5.99,22.20,7.19,18.46
District 9,6.10,8.46,2.82,12.69,8.63,25.35,10.12,22.54
District 10,3.96,18.57,3.98,8.09,6.49,22.62,8.72,19.95
District 11,3.43,5.38,2.99,7.66,5.14,15.41,5.52,12.36
District 12,7.32,19.30,5.38,7.87,7.13,27.09,9.01,22.62
District 13,3.49,12.87,2.82,5.90,6.29,16.97,7.19,13.08
District 14,5.68,6.74,4.78,5.88,4.64,19.95,7.56,17.32
TOTAL,3.37,13.70,3.51,6.35,5.53,19.49,6.82,15.90
