CONGRESSIONAL DISTRICT,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
Congressional District 1,164.0,17595.0,17531.0,3.000,2464.0,1778.0,2.000,154.0,170.0,7.000,4545.0,3550.0,6.000,2154.0,1693.0,71.00,145821.0,125180.0,41.00,72242.0,51216.0,446387.0
Congressional District 2,66.00,7463.0,7739.0,1.000,1608.0,1200.0,0.00,110.0,98.00,7.000,2658.0,2162.0,1.000,1485.0,1187.0,22.00,95620.0,83017.0,45.00,124515.0,86197.0,415201.0
Congressional District 3,104.0,18777.0,18457.0,16.00,2272.0,1889.0,0.00,106.0,84.00,9.000,4005.0,3292.0,6.000,2296.0,1785.0,114.0,168213.0,147884.0,45.00,59411.0,42830.0,471595.0
Congressional District 4,151.0,20465.0,19855.0,9.000,4527.0,3257.0,0.00,249.0,194.0,14.00,5171.0,3938.0,6.000,4771.0,4562.0,30.00,70858.0,60750.0,86.00,160644.0,115617.0,475154.0
Congressional District 5,263.0,31638.0,32254.0,5.000,4148.0,3470.0,1.000,156.0,130.0,10.00,4189.0,3892.0,21.00,4288.0,4021.0,85.00,76656.0,76039.0,119.0,161120.0,122786.0,525291.0
Congressional District 6,204.0,27713.0,26837.0,16.00,5047.0,4343.0,0.00,191.0,166.0,21.00,7362.0,5911.0,32.00,10924.0,10238.0,172.0,172253.0,156026.0,21.00,34981.0,25527.0,487985.0
Congressional District 7,542.0,27799.0,26889.0,37.00,5328.0,4388.0,3.000,322.0,289.0,66.00,13739.0,11111.0,68.00,13989.0,13915.0,241.0,126643.0,114108.0,162.0,49835.0,35568.0,445042.0
Congressional District 8,96.00,9379.0,9805.0,4.000,1571.0,1215.0,0.00,140.0,97.00,4.000,3048.0,2424.0,0.00,1926.0,1526.0,76.00,142518.0,124293.0,32.00,69714.0,48427.0,416295.0
Congressional District 9,108.0,14408.0,15084.0,2.000,1072.0,1035.0,0.00,136.0,124.0,20.00,5397.0,5247.0,3.000,1509.0,1257.0,129.0,189030.0,168321.0,9.000,14233.0,10524.0,427648.0
Congressional District 10,156.0,18779.0,19043.0,4.000,1994.0,1759.0,0.00,127.0,108.0,19.00,3916.0,3250.0,6.000,2504.0,2112.0,146.0,159315.0,143170.0,58.00,59818.0,42754.0,459038.0
Congressional District 11,189.0,19628.0,20090.0,24.00,3613.0,2883.0,0.00,221.0,197.0,20.00,7944.0,6518.0,7.000,3998.0,3393.0,130.0,181538.0,163129.0,69.00,44360.0,31282.0,489233.0
Congressional District 12,144.0,15117.0,15017.0,4.000,2082.0,1492.0,0.00,143.0,124.0,5.000,3250.0,2632.0,11.00,2220.0,1759.0,91.00,130367.0,113986.0,87.00,81206.0,57182.0,426919.0
Congressional District 13,173.0,21398.0,19448.0,9.000,4254.0,3015.0,1.000,148.0,122.0,10.00,6668.0,5250.0,12.00,3187.0,2711.0,55.00,72590.0,62892.0,143.0,156423.0,109780.0,468289.0
Congressional District 14,52.00,15656.0,16010.0,1.000,1191.0,1051.0,0.00,99.00,88.00,7.000,5635.0,5435.0,1.000,1093.0,895.0,90.00,170507.0,148155.0,13.00,18444.0,13367.0,397790.0
TOTAL,2412.0,265815.0,264059.0,135.0,41171.0,32775.0,7.000,2302.0,1991.0,219.0,77527.0,64612.0,180.0,56344.0,51054.0,1452.0,1901929.0,1686950.0,930.0,1106946.0,793057.0,6351867.0
