COUNTY NAME,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
APPLING,9.30,23.57,15.13,0.00,11.76,50.96,18.37,43.99
ATKINSON,0.00,4.98,0.00,0.00,0.00,4.51,0.00,4.32
BACON,11.76,21.97,14.81,33.33,5.00,47.81,26.81,42.60
BAKER,22.22,50.51,27.27,0.00,37.50,62.19,34.48,56.08
BALDWIN,9.55,23.64,8.78,0.00,7.69,28.45,11.76,25.65
BANKS,5.26,11.86,5.04,14.29,21.88,33.52,13.12,31.53
BARROW,2.61,7.15,2.42,0.00,3.48,15.26,5.58,12.89
BARTOW,5.14,6.04,3.45,9.09,5.39,19.63,6.92,16.63
BEN HILL,11.11,17.46,3.45,0.00,15.38,25.68,10.20,22.07
BERRIEN,7.41,16.42,8.74,10.00,11.90,24.52,8.64,22.83
BIBB,7.00,21.40,8.67,8.62,8.02,32.24,9.97,25.32
BLECKLEY,23.53,17.26,13.33,0.00,30.00,48.70,25.67,41.52
BRANTLEY,27.27,22.86,7.50,0.00,0.00,37.13,11.26,35.46
BROOKS,20.83,18.25,1.02,12.50,5.08,19.80,11.30,18.51
BRYAN,6.02,9.53,6.90,7.41,6.28,19.38,8.36,16.51
BULLOCH,6.17,10.92,6.92,0.00,5.54,30.99,11.93,23.85
BURKE,7.89,30.42,4.05,0.00,8.93,29.01,9.48,28.58
BUTTS,18.18,20.34,14.58,14.29,14.29,33.91,21.60,29.55
CALHOUN,46.67,35.00,11.76,0.00,0.00,44.43,12.50,38.32
CAMDEN,7.85,11.98,1.90,3.23,4.10,11.69,4.93,10.38
CANDLER,15.00,12.68,3.81,0.00,0.00,30.09,9.66,24.20
CARROLL,3.48,5.12,2.82,3.23,4.23,17.11,5.99,13.71
CATOOSA,5.33,5.70,2.70,0.00,4.11,14.97,5.73,13.67
CHARLTON,39.13,23.35,6.67,0.00,25.93,34.20,18.12,30.22
CHATHAM,3.44,16.22,1.83,5.07,4.45,12.16,4.05,12.77
CHATTAHOOCHEE,1.59,23.60,0.47,25.00,2.74,23.52,8.74,20.51
CHATTOOGA,13.89,16.06,2.25,0.00,8.00,22.06,8.53,20.45
CHEROKEE,5.23,5.70,4.30,12.50,7.23,17.18,8.15,15.26
CLARKE,2.87,5.74,1.60,2.86,3.21,9.20,3.44,7.30
CLAY,25.00,33.02,25.00,0.00,50.00,44.83,23.08,37.81
CLAYTON,3.30,14.11,3.42,8.14,6.28,19.69,7.13,13.59
CLINCH,11.11,22.57,13.33,0.00,22.22,41.28,21.15,34.60
COBB,2.91,7.05,2.70,5.00,5.28,13.80,3.07,10.55
COFFEE,10.28,17.41,5.57,11.11,6.25,28.69,12.77,24.59
COLQUITT,3.45,6.45,3.63,0.00,11.76,28.64,9.99,21.62
COLUMBIA,6.99,12.30,5.68,8.99,5.95,18.72,6.74,15.95
COOK,18.92,17.43,1.92,0.00,4.08,27.65,10.24,23.88
COWETA,2.71,8.66,1.71,4.55,6.18,15.04,7.05,12.92
CRAWFORD,14.29,35.97,2.86,0.00,13.33,22.69,9.00,24.88
CRISP,5.71,13.18,15.71,0.00,7.69,36.25,12.66,25.69
DADE,17.65,5.00,3.77,16.67,11.11,23.56,12.67,22.41
DAWSON,10.00,10.77,9.03,0.00,28.57,29.13,12.50,27.81
DECATUR,17.31,20.80,9.55,14.29,17.33,36.67,16.27,29.57
DEKALB,4.18,14.41,4.52,4.03,6.27,16.78,5.61,13.93
DODGE,13.79,18.67,13.33,16.67,4.17,38.35,14.19,32.43
DOOLY,3.23,34.46,3.66,0.00,13.64,31.27,23.53,32.07
DOUGHERTY,4.44,21.48,7.26,5.00,5.92,19.90,9.37,20.36
DOUGLAS,4.04,10.29,3.20,12.77,7.61,23.80,7.09,15.95
EARLY,5.88,25.29,20.83,0.00,17.65,30.16,16.98,27.48
ECHOLS,0.00,40.62,16.30,25.00,23.53,47.14,16.49,43.37
EFFINGHAM,2.89,7.72,1.92,11.54,3.85,12.09,3.48,10.64
ELBERT,7.69,11.23,3.16,66.67,12.12,35.19,15.09,27.30
EMANUEL,10.34,5.86,5.71,20.00,6.25,20.70,5.85,15.26
EVANS,4.76,9.60,4.35,0.00,0.00,27.60,9.21,21.02
FANNIN,22.86,13.33,8.82,21.43,26.67,34.27,21.35,33.62
FAYETTE,6.63,18.82,6.32,6.98,12.15,23.41,13.10,20.59
FLOYD,4.82,6.30,2.17,9.68,2.39,19.78,5.55,16.64
FORSYTH,3.13,5.05,4.79,3.54,4.92,18.00,9.36,15.35
FRANKLIN,1.49,8.74,5.95,0.00,6.45,30.16,12.61,27.64
FULTON,3.01,11.53,3.61,3.55,4.65,10.09,5.77,9.71
GILMER,5.56,10.87,3.76,12.50,12.33,24.97,12.82,23.91
GLASCOCK,0.00,43.65,0.00,100.0,0.00,66.96,54.72,64.92
GLYNN,9.34,9.39,5.16,10.53,7.58,21.76,9.51,17.67
GORDON,3.09,9.15,2.03,5.88,3.36,21.50,5.11,19.61
GRADY,4.00,8.10,1.74,0.00,7.32,14.74,2.93,12.17
GREENE,11.11,20.25,13.54,0.00,12.50,38.60,20.92,31.49
GWINNETT,1.31,4.83,2.25,2.35,3.22,9.64,3.19,6.58
HABERSHAM,19.03,13.74,2.54,33.33,14.85,33.80,16.37,31.61
HALL,2.18,5.84,1.47,4.29,4.50,15.32,5.23,12.57
HANCOCK,28.57,54.49,7.14,100.0,42.86,37.06,34.68,49.98
HARALSON,2.78,7.31,6.06,10.00,7.84,25.33,10.00,23.68
HARRIS,5.71,13.26,6.50,0.00,5.26,17.43,7.69,16.00
HART,3.19,13.02,7.32,0.00,9.38,26.64,9.75,23.53
HEARD,11.11,15.27,7.14,12.50,0.00,23.55,4.61,21.82
HENRY,2.69,11.21,2.36,8.00,5.38,14.44,7.26,11.90
HOUSTON,2.40,6.90,2.27,2.60,2.86,11.41,3.11,9.21
IRWIN,11.11,6.29,0.00,0.00,0.00,11.33,1.33,9.81
JACKSON,1.70,6.66,3.13,0.00,6.19,17.71,6.68,15.86
JASPER,31.25,15.43,3.03,0.00,5.26,19.10,3.33,17.71
JEFF DAVIS,13.33,18.92,7.78,0.00,8.33,33.10,12.69,29.85
JEFFERSON,7.14,27.44,14.29,0.00,17.39,38.68,16.00,31.53
JENKINS,0.00,27.11,0.00,0.00,11.11,32.58,14.46,29.40
JOHNSON,50.00,43.52,10.00,50.00,40.00,44.43,25.33,43.82
JONES,8.75,16.23,8.43,12.50,9.09,28.02,4.57,24.50
LAMAR,0.00,8.02,2.13,0.00,5.45,17.33,5.48,14.12
LANIER,19.23,18.81,3.85,0.00,8.57,28.33,17.56,25.05
LAURENS,10.97,26.76,13.33,4.55,10.13,40.74,16.58,34.77
LEE,6.05,16.91,7.22,9.09,11.11,23.07,10.65,21.10
LIBERTY,8.57,16.46,5.71,4.76,5.58,22.04,5.02,16.41
LINCOLN,16.67,33.35,0.00,0.00,12.50,37.53,20.42,35.26
LONG,10.26,20.03,7.59,40.00,13.41,35.34,12.95,27.83
LOWNDES,4.49,10.89,1.74,6.67,4.79,11.38,4.19,10.47
LUMPKIN,7.04,5.30,5.88,26.09,16.05,24.56,12.49,23.35
MCDUFFIE,6.82,19.59,8.54,16.67,11.11,32.68,9.41,26.74
MCINTOSH,10.00,27.62,6.82,0.00,12.20,32.34,19.33,30.03
MACON,14.55,32.23,2.22,0.00,16.67,42.52,13.29,34.87
MADISON,13.79,11.14,6.94,20.00,12.99,34.32,14.91,30.71
MARION,5.71,26.24,7.46,0.00,20.83,31.95,18.06,29.06
MERIWETHER,7.69,8.17,3.57,0.00,10.87,20.32,6.05,14.87
MILLER,0.00,28.73,0.00,50.00,12.50,29.44,12.79,28.78
MITCHELL,6.82,24.77,6.12,0.00,8.70,23.96,9.56,23.66
MONROE,5.88,22.08,9.20,33.33,7.92,30.78,16.13,27.79
MONTGOMERY,20.00,28.35,5.26,100.0,25.00,47.74,18.31,42.27
MORGAN,4.08,10.42,8.14,20.00,11.76,23.92,9.72,20.26
MURRAY,12.12,2.75,5.24,14.29,7.37,32.41,15.64,29.65
MUSCOGEE,4.01,15.54,3.38,4.71,3.53,14.40,5.76,13.88
NEWTON,5.85,12.32,3.80,9.52,4.49,18.12,4.95,14.42
OCONEE,4.07,7.88,8.28,9.09,8.72,28.72,12.31,25.73
OGLETHORPE,15.00,13.64,7.69,33.33,11.90,38.59,14.47,33.11
PAULDING,4.38,4.52,3.17,0.00,4.32,13.20,5.00,10.67
PEACH,5.00,16.09,3.19,16.67,6.59,16.49,4.59,15.54
PICKENS,5.88,8.97,6.94,0.00,7.94,22.57,6.19,21.58
PIERCE,0.00,13.41,4.62,33.33,6.90,31.25,10.63,28.02
PIKE,24.14,19.12,19.23,12.50,22.22,32.58,18.86,30.27
POLK,2.27,8.31,3.49,12.50,7.45,25.74,11.45,22.58
PULASKI,15.00,21.20,16.00,0.00,15.79,46.66,18.03,38.51
PUTNAM,4.92,18.99,7.87,0.00,11.11,36.70,18.93,31.50
QUITMAN,50.00,41.18,33.33,33.33,0.00,50.12,32.43,45.51
RABUN,10.81,35.85,15.65,33.33,18.75,43.27,32.83,42.34
RANDOLPH,0.00,42.26,0.00,0.00,25.00,55.03,31.71,47.13
RICHMOND,5.91,21.36,3.76,9.21,8.52,21.69,8.99,19.74
ROCKDALE,6.87,19.43,4.52,16.13,8.31,19.45,11.29,17.94
SCHLEY,42.86,24.96,0.00,0.00,8.33,46.26,20.00,40.90
SCREVEN,3.70,8.63,16.00,0.00,6.67,24.00,5.98,17.10
SEMINOLE,12.50,26.47,12.24,0.00,8.33,38.63,17.91,33.77
SPALDING,6.51,12.82,5.24,15.00,9.39,26.43,8.72,20.92
STEPHENS,4.95,10.63,4.04,25.00,6.15,28.96,11.77,26.12
STEWART,20.00,46.89,17.65,100.0,45.45,52.84,24.62,48.48
SUMTER,2.25,24.14,6.92,0.00,20.41,42.29,16.87,32.23
TALBOT,0.00,38.24,0.00,100.0,12.50,20.89,22.30,30.58
