CONGRESSIONAL DISTRICT,MALE,FEMALE,UNKNOWN,TOTAL
District 1,17.46,17.05,6.46,17.23
District 2,21.60,23.67,7.75,22.76
District 3,16.75,16.33,5.78,16.52
District 4,12.29,14.73,6.08,13.66
District 5,9.29,12.17,3.97,10.83
District 6,11.01,10.29,4.08,10.62
District 7,8.12,7.55,5.27,7.81
District 8,18.98,18.05,4.72,18.46
District 9,23.40,21.79,9.23,22.54
District 10,19.79,20.11,6.17,19.95
District 11,13.05,11.77,3.87,12.36
District 12,22.67,22.60,9.06,22.62
District 13,12.15,13.80,3.97,13.08
District 14,18.10,16.64,10.98,17.32
TOTAL,15.78,16.00,5.70,15.90
